SRR3724066 SRR3724068 SRR3724070 SRR3724072 SRR3724074 SRR3724076 SRR3724078 SRR3724079 SRR3724081 SRR3724084 SRR3724086 SRR3724088 SRR3724091 SRR3724093 SRR3724095 SRR3724097 SRR3724099 SRR3724101 SRR3724102 SRR3724104 SRR3724106 SRR3724108 SRR3724110 SRR3724113 SRR3724125 SRR3724127 SRR3724129 SRR3724131 SRR3724133 SRR3724134 SRR3724136 SRR3724138 SRR3724140 SRR3724142 SRR3724145 SRR3724147 SRR3724149 SRR3724151 SRR3724153 SRR3724155 SRR3724156 SRR3724158 SRR3724160 SRR3724162 SRR3724164 SRR3724167 SRR3724169 SRR3724171
ZT3D7_G23 9 0 2 5 6 9018 0 11158 9062 12 23 52 10 9 22 964 144 0 5204 15724 16634 17635 5 15 3 8 16 6 1 11 406 120 8314 8367 10697 11 45 16 1505 4 23 39 75 31 57 25388 17010 20127
ZT3D7_G24 0 0 0 0 0 69 0 116 81 0 0 0 0 0 0 26 3 0 34 56 66 51 0 0 0 0 0 0 0 2 3 2 10 17 21 0 0 0 8 0 0 0 2 0 4 95 38 66
ZT3D7_G25 0 1 0 0 1 92 0 117 111 8 5 2 3 0 6 15 17 0 52 106 105 82 4 1 2 0 0 0 1 1 37 1 80 123 117 1 3 4 37 0 3 2 13 17 27 347 187 297
ZT3D7_G26 56 34 41 15 11 7254 65 7593 7159 202 250 190 270 42 261 1296 469 38 3497 7271 7784 7837 28 194 74 67 98 65 92 67 652 426 6336 5863 9138 141 121 197 998 97 74 176 258 164 188 14944 6969 7725
ZT3D7_G27 1 9 6 6 5 919 0 863 1128 18 8 15 26 5 32 194 104 0 392 1172 1277 1256 1 14 5 8 13 6 1 29 145 72 790 738 991 5 17 7 111 10 27 43 75 112 43 1330 801 1045
ZT3D7_G28 0 2 0 0 0 139 0 87 120 3 0 0 0 0 1 36 6 0 67 191 223 172 0 0 0 0 1 0 0 3 41 26 180 230 271 1 0 1 28 0 10 4 13 19 32 267 188 266
ZT3D7_G29 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 3 0 0 3 2 2 0 0 0 0 0 0 3 0 0 5 0 4 3 11 0 0 0 1 0 0 0 0 0 0 7 3 2
ZT3D7_G30 0 0 0 0 0 7 0 4 9 0 0 0 0 1 1 11 3 0 26 14 24 12 2 0 0 3 0 0 0 6 23 4 29 24 26 0 0 0 6 0 1 1 5 7 7 29 15 19
ZT3D7_G31 0 6 7 6 3 284 2 210 359 4 5 2 4 7 17 147 72 0 317 162 330 230 4 10 3 3 7 7 2 19 154 74 199 317 304 2 6 11 43 0 8 28 39 45 49 313 198 398
ZT3D7_G32 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
