SRR3724066 SRR3724068 SRR3724070 SRR3724072 SRR3724074 SRR3724076 SRR3724078 SRR3724079 SRR3724081 SRR3724084 SRR3724086 SRR3724088 SRR3724091 SRR3724093 SRR3724095 SRR3724097 SRR3724099 SRR3724101 SRR3724102 SRR3724104 SRR3724106 SRR3724108 SRR3724110 SRR3724113 SRR3724125 SRR3724127 SRR3724129 SRR3724131 SRR3724133 SRR3724134 SRR3724136 SRR3724138 SRR3724140 SRR3724142 SRR3724145 SRR3724147 SRR3724149 SRR3724151 SRR3724153 SRR3724155 SRR3724156 SRR3724158 SRR3724160 SRR3724162 SRR3724164 SRR3724167 SRR3724169 SRR3724171
ZT3D7_G4169 0 0 1 0 0 6 0 17 4 0 0 0 0 0 0 10 3 0 19 33 64 36 0 0 0 0 2 0 0 0 7 0 15 8 16 0 0 0 2 0 0 0 1 4 0 20 14 38
ZT3D7_G4170 0 4 3 3 2 1787 0 1149 2070 2 1 2 1 7 5 589 76 0 2099 1507 1876 1557 0 0 0 0 1 1 2 17 543 44 408 356 648 0 4 3 115 2 6 10 200 55 48 1914 1545 2176
ZT3D7_G4171 0 5 7 4 3 14 2 59 22 6 8 1 10 11 31 330 118 0 608 247 376 216 4 1 0 1 4 6 4 3 87 30 93 94 75 1 1 1 25 1 7 11 96 89 23 65 109 65
ZT3D7_G4172 0 10 3 8 2 572 0 620 700 1 2 1 6 6 10 202 68 0 523 446 699 461 0 0 3 0 2 4 4 40 358 77 695 600 1027 5 1 0 93 1 15 18 99 109 134 1081 1001 1370
ZT3D7_G4173 0 2 1 3 3 96 0 64 70 1 0 0 2 2 5 34 7 0 62 47 101 72 0 0 0 0 0 0 0 6 28 12 44 84 68 0 1 0 12 0 6 11 24 21 25 89 60 92
ZT3D7_G4174 2 2 2 1 3 1526 2 1222 1690 1 4 3 9 15 24 529 152 2 1531 1930 2617 2200 1 5 2 2 3 1 0 15 226 154 1415 1592 2284 3 2 0 165 1 8 14 89 41 43 2104 1698 1521
ZT3D7_G4175 3 0 7 5 6 1101 0 1055 1155 3 11 12 17 4 21 169 132 1 362 834 1240 1166 4 4 5 4 6 5 3 15 177 75 1152 1010 1862 2 5 4 116 1 9 11 53 59 73 1779 1371 1218
ZT3D7_G4177 3 1 1 0 0 38 0 64 44 2 5 0 5 1 1 43 15 0 59 99 113 88 0 2 0 2 6 0 1 4 7 12 106 93 84 2 4 0 9 2 1 3 5 4 11 99 61 105
ZT3D7_G4178 0 0 0 1 0 11 0 9 13 0 0 0 0 0 0 2 3 0 9 13 15 28 0 0 0 0 0 1 1 6 15 6 14 7 18 0 0 0 8 0 2 1 2 4 0 25 12 29
ZT3D7_G4179 0 6 0 0 0 22 0 27 23 0 1 1 2 0 0 76 24 0 130 25 34 23 3 0 0 0 6 0 0 8 29 8 13 23 10 0 0 0 12 0 2 1 14 22 29 29 16 50
ZT3D7_G4180 0 0 0 0 0 3 0 4 4 0 0 0 0 0 0 26 2 0 9 0 4 6 0 0 0 0 0 0 0 0 5 0 4 3 1 3 0 0 1 0 1 2 7 2 2 5 4 19
ZT3D7_G4181 0 0 0 0 0 17 0 11 9 0 0 0 0 0 0 5 1 0 12 7 23 16 0 1 0 0 0 0 0 0 7 1 4 12 10 0 0 0 2 0 0 0 0 0 3 14 12 18
ZT3D7_G4182 0 2 0 0 0 27 0 28 19 3 0 0 0 0 0 5 1 0 4 10 9 12 0 0 0 1 1 0 0 1 1 6 3 4 10 0 0 0 1 0 0 3 1 0 0 15 5 15
ZT3D7_G4183 0 1 0 4 1 71 2 58 84 0 1 3 3 6 4 161 28 0 244 134 180 168 0 0 0 4 5 0 1 7 59 29 202 266 336 0 1 0 25 0 5 5 36 18 20 241 170 200
ZT3D7_G4184 0 8 7 17 2 116 0 159 120 2 2 2 2 12 16 200 128 1 339 97 145 130 4 0 1 2 8 1 0 18 192 71 165 157 202 3 8 1 41 0 12 10 85 60 57 154 129 197
ZT3D7_G4185 0 18 17 22 15 88 1 92 96 15 2 5 19 21 91 81 74 1 151 88 95 88 4 2 1 6 19 21 5 50 117 130 111 157 124 17 3 7 106 0 38 70 216 320 170 125 117 217
ZT3D7_G4186 0 0 0 0 0 47 0 43 63 1 0 0 3 1 2 67 16 0 99 89 144 93 0 0 0 0 0 0 0 3 7 8 38 80 55 2 0 0 1 0 0 0 3 13 4 45 35 56
ZT3D7_G4187 0 3 5 11 1 314 5 331 529 2 4 1 6 12 28 401 210 0 659 294 384 314 1 7 0 1 10 7 2 50 329 117 318 336 584 3 9 12 88 0 22 53 175 174 147 818 522 592
ZT3D7_G4188 1 36 16 92 9 3531 2 515 1589 64 155 159 111 121 467 303 362 1 833 3462 7521 6630 24 109 21 38 161 57 5 589 936 225 306 1046 267 39 195 25 1042 8 272 341 679 805 1703 8721 1971 3120
ZT3D7_G4189 0 2 2 2 0 289 0 83 258 0 0 2 0 2 9 54 20 0 120 89 119 105 0 1 0 0 1 0 2 1 43 12 67 90 61 0 1 0 3 0 0 2 1 1 3 50 26 38
ZT3D7_G4190 0 5 5 8 2 27 1 16 20 11 9 6 8 6 20 389 139 0 957 503 971 569 0 0 0 2 0 2 8 5 24 14 79 71 164 1 1 3 15 1 5 8 12 6 6 30 4 14
ZT3D7_G4191 0 4 1 6 4 33 1 33 78 0 3 5 0 0 3 113 38 0 206 62 125 56 0 0 1 0 2 2 1 8 68 25 48 72 65 4 5 0 35 0 14 19 52 64 59 109 135 195
ZT3D7_G4192 0 8 1 2 1 599 3 313 805 6 11 2 6 3 34 277 85 0 574 869 1450 981 0 5 1 2 9 8 1 50 211 87 414 574 545 3 4 6 68 1 15 14 64 60 147 559 553 660
ZT3D7_G4193 12 13 14 29 14 1897 8 2623 2057 34 42 27 45 14 70 626 99 4 1674 2758 2653 2528 4 34 7 17 27 5 24 41 334 122 1685 1629 2517 19 21 25 333 3 32 38 133 102 147 4167 2834 4062
ZT3D7_G4194 0 9 6 5 5 690 3 546 747 10 7 9 2 7 26 263 70 4 690 346 491 460 5 14 2 14 12 21 5 38 207 79 618 507 667 7 9 11 86 2 23 19 134 101 141 643 432 603
ZT3D7_G4195 878 380 445 135 149 11180 786 12085 10804 3133 3529 2758 5765 405 2397 6275 5484 701 5986 13234 12676 15438 379 2767 915 733 650 425 698 606 2710 1484 11483 11889 12762 2052 2323 1491 2260 1046 1172 2054 1567 921 1226 17015 9027 13222
ZT3D7_G4196 4 0 1 0 0 184 2 209 202 11 10 11 7 2 6 99 25 5 168 150 236 164 0 1 2 0 6 2 0 6 35 4 30 52 82 2 3 3 13 1 0 4 26 9 8 131 98 101
ZT3D7_G4197 0 1 3 7 0 49 2 47 74 6 8 3 12 0 5 95 34 1 221 77 177 139 0 13 1 0 4 3 0 9 70 30 83 81 60 8 4 3 22 0 3 7 18 20 47 79 65 104
ZT3D7_G4198 8 7 9 12 10 202 0 208 340 14 7 9 9 15 30 539 187 1 886 344 380 403 3 4 2 7 10 7 1 40 297 176 389 479 500 5 10 14 101 0 20 31 234 121 120 577 429 469
ZT3D7_G4199 0 0 2 0 0 120 0 119 134 0 1 4 0 2 6 58 17 0 131 70 143 151 2 0 0 0 5 3 1 8 69 41 135 151 217 3 1 0 34 0 4 7 20 12 10 157 98 152
ZT3D7_G4200 0 2 0 2 0 90 0 47 113 2 3 0 6 0 12 51 24 0 135 143 225 196 0 5 0 1 3 1 0 11 41 25 69 74 83 1 2 0 25 0 2 3 21 26 19 178 136 221
ZT3D7_G4201 0 0 2 5 0 5 1 0 1 0 0 0 1 13 23 20 103 0 28 1 7 4 0 0 0 1 7 1 2 37 122 104 14 20 21 1 0 0 96 0 15 14 183 178 214 211 167 202
ZT3D7_G4202 0 11 7 11 13 9 2 7 23 24 16 9 16 19 176 30 44 0 12 5 0 1 1 2 6 33 26 25 4 36 255 186 8 4 3 3 14 2 171 5 144 22 420 152 55 3 5 3
ZT3D7_G4203 0 8 6 5 2 34 2 79 43 7 7 4 0 5 50 6 21 1 28 70 75 94 1 4 3 3 9 1 4 6 29 45 11 18 10 5 2 1 53 1 39 5 115 47 46 114 45 119
ZT3D7_G4204 0 1 3 8 3 68 0 76 76 3 0 0 7 4 46 50 17 0 52 87 107 116 0 0 0 0 0 0 6 0 10 0 17 41 33 5 2 8 51 0 12 12 59 47 47 355 153 317
ZT3D7_G4205 5 11 7 12 9 121 1 103 137 7 5 3 7 9 28 65 92 3 76 69 90 85 5 2 3 1 8 4 2 10 80 78 61 103 114 5 2 6 38 3 25 24 86 99 70 192 146 195
ZT3D7_G4206 1 6 8 13 6 80 1 91 70 0 3 0 3 12 45 454 201 0 605 60 91 109 2 2 1 2 14 5 5 42 253 146 72 73 100 3 0 2 40 0 10 44 118 116 76 117 86 147
ZT3D7_G4207 78 139 77 72 18 15106 58 12555 19341 216 245 223 287 255 587 7892 5242 35 15102 10281 21498 16867 78 140 61 160 246 203 67 550 7389 5083 16693 17069 20583 112 129 113 1466 51 366 571 3871 2915 2485 12041 7314 6557
ZT3D7_G4208 1 6 6 5 4 251 1 271 236 13 19 8 14 11 22 443 154 0 619 286 320 294 2 16 3 3 13 5 8 20 165 121 277 344 391 7 8 9 55 7 11 16 81 69 46 525 331 516
ZT3D7_G4209 0 4 7 6 2 577 2 566 562 25 16 7 8 8 17 421 164 3 732 576 734 719 3 12 2 6 8 7 5 6 208 133 692 542 859 3 6 8 80 0 8 8 133 88 94 805 613 480
ZT3D7_G4210 0 2 1 1 1 122 0 77 117 0 2 4 0 3 4 89 31 0 174 76 98 93 0 0 0 0 0 3 1 0 49 9 113 168 125 0 1 4 19 0 1 3 15 11 32 151 108 133
ZT3D7_G4211 0 2 1 2 2 16 0 23 28 0 7 5 2 3 6 82 71 0 112 22 49 38 1 0 0 0 0 0 3 2 9 0 10 2 2 1 1 0 17 0 5 4 34 24 31 22 14 19
ZT3D7_G4212 1 7 6 12 3 695 1 587 641 12 12 13 22 5 36 252 123 3 397 485 619 629 4 11 5 2 6 3 4 9 94 70 370 266 434 7 16 7 83 0 18 21 138 84 77 885 622 642
ZT3D7_G4213 17 26 33 27 19 2452 17 2516 2251 69 102 71 144 62 158 1775 1078 6 2789 3916 3894 4293 12 82 35 38 53 51 25 141 1802 875 2724 3051 4094 27 40 49 335 9 59 85 859 489 356 3326 2879 2619
ZT3D7_G4214 2 2 7 11 2 441 6 357 532 13 16 9 13 21 32 943 297 3 1837 416 892 627 2 4 3 2 7 8 3 17 258 124 551 511 683 15 7 22 80 6 11 44 201 148 135 875 686 834
ZT3D7_G4215 29 43 28 34 22 4456 20 3643 4512 77 66 63 107 49 139 2092 839 6 3750 2429 3755 3061 14 68 29 30 55 49 16 86 1416 890 3428 3733 4801 20 57 52 462 13 70 134 871 620 385 4987 4201 3294
ZT3D7_G4216 0 9 4 12 10 613 0 508 740 6 11 9 9 5 12 318 127 1 716 405 668 601 0 9 2 5 15 4 7 34 233 119 577 581 718 2 8 6 82 1 16 25 95 87 91 857 696 805
ZT3D7_G4217 0 0 2 0 2 161 0 88 143 4 11 4 0 6 5 31 11 3 62 80 99 91 0 0 2 2 2 0 1 2 24 5 56 93 72 1 9 8 12 0 6 8 8 9 24 195 152 259
ZT3D7_G4218 24 71 49 73 21 5980 22 5304 6915 156 155 124 188 82 319 2584 1207 12 4449 3918 6119 5731 33 114 29 53 68 68 24 199 2234 1252 5209 4924 6938 89 102 70 796 12 142 228 1132 1023 765 8775 6041 5335
ZT3D7_G4219 18 29 28 39 29 7150 8 5562 6680 46 59 67 47 49 112 2388 801 3 4406 4745 6482 4972 20 63 23 34 68 29 25 117 1739 892 5431 5452 7507 37 50 38 664 8 69 126 845 668 596 8743 7428 6563
ZT3D7_G4220 0 0 1 1 0 101 0 27 74 1 1 2 0 1 10 32 15 0 52 26 46 33 0 0 0 0 1 0 1 5 16 5 20 41 23 0 1 0 8 2 1 5 11 6 12 53 34 42
ZT3D7_G4221 1 5 4 13 4 167 0 193 269 12 3 18 9 4 7 3 4 0 18 34 53 42 0 19 4 1 2 1 4 6 11 7 34 27 68 3 5 9 10 3 9 11 3 5 3 94 64 80
ZT3D7_G4222 0 0 0 0 0 44 0 37 37 0 1 0 0 0 1 2 5 0 9 46 54 48 0 0 0 0 0 0 0 3 13 0 49 59 87 0 0 2 2 0 1 1 3 0 0 27 23 15
ZT3D7_G4223 3 18 27 35 18 2146 8 1993 2193 30 42 19 30 25 81 1098 555 9 1625 2415 2269 2610 9 8 1 11 26 26 25 73 691 328 1440 1474 1939 25 25 37 188 6 33 90 332 276 204 2122 1482 1824
ZT3D7_G4224 5 12 13 39 19 2689 1 2544 3270 20 10 14 19 34 85 1465 496 2 2447 1666 2291 1981 11 22 7 16 31 21 15 73 1030 464 3878 4252 4894 12 13 27 307 1 30 68 395 328 261 3754 3114 4070
ZT3D7_G4225 1 3 1 1 0 2313 1 2398 2365 11 24 26 19 6 28 269 101 0 556 2508 1821 2793 4 3 2 1 9 5 3 4 210 62 1991 1971 2748 0 9 5 301 0 12 17 70 19 47 4613 2867 3469
ZT3D7_G4226 8 15 8 29 7 6375 5 6003 6617 34 43 23 50 24 74 1630 405 8 4426 6352 7799 6664 3 34 22 20 32 14 16 115 967 317 7381 7550 8391 28 38 48 509 4 44 61 286 270 369 7926 4950 6203
ZT3D7_G4227 0 0 0 4 0 88 1 68 142 2 2 1 2 0 10 177 43 0 184 125 174 177 4 0 1 0 0 0 0 4 59 36 94 190 113 0 0 2 23 0 2 7 21 15 22 218 127 195
ZT3D7_G4228 1 6 6 11 8 581 1 434 724 12 19 8 9 10 26 346 133 0 797 493 796 622 6 9 2 5 12 5 2 53 257 102 522 818 726 6 15 18 82 1 24 32 125 79 123 729 509 617
ZT3D7_G4229 0 0 0 1 0 24 1 24 15 5 9 1 6 3 6 58 30 0 66 186 264 178 0 0 0 0 0 0 0 0 11 0 11 17 30 0 1 2 2 0 0 2 5 1 2 27 26 23
ZT3D7_G4230 50 137 135 172 65 12110 35 8968 13568 150 162 118 193 194 496 9852 4165 21 20197 6945 10842 8430 74 175 52 99 194 163 39 598 7084 4027 15599 16515 19748 114 137 162 1928 21 312 620 4168 3283 2684 19239 19017 13885
ZT3D7_G4231 0 4 5 3 4 502 0 539 645 5 8 3 1 2 9 41 18 1 85 504 677 586 0 1 1 2 2 1 1 11 99 25 636 516 873 0 8 0 81 4 10 5 15 17 14 873 570 717
ZT3D7_G4232 0 7 6 2 2 137 0 231 138 6 2 1 3 6 6 90 25 1 149 137 211 187 1 6 0 2 5 1 0 5 52 48 79 104 131 1 2 2 22 1 3 12 34 30 39 163 160 236
ZT3D7_G4233 0 2 0 0 1 9 1 13 17 0 2 0 3 1 5 27 9 0 51 13 30 9 0 0 1 1 4 2 0 1 21 10 15 16 13 3 0 0 2 0 1 0 6 4 14 16 12 29
ZT3D7_G4234 0 21 5 23 9 166 0 258 241 3 7 3 11 9 31 60 27 1 172 316 524 430 2 0 2 4 34 23 8 96 159 28 185 288 391 0 5 0 14 5 4 3 20 8 9 240 127 203
ZT3D7_G4235 3 10 8 2 3 265 1 320 372 9 1 2 2 7 15 96 51 0 117 211 313 285 2 3 2 4 6 4 2 3 112 113 291 247 407 2 2 0 68 0 19 17 40 54 50 409 252 438
ZT3D7_G4236 0 3 1 2 2 366 0 373 396 4 5 4 3 3 13 199 52 0 610 432 576 471 0 5 2 3 11 3 1 13 86 55 307 234 573 5 7 3 57 5 6 10 39 31 33 641 480 554
ZT3D7_G4237 0 3 1 3 1 16 0 10 12 0 4 5 7 1 3 22 10 0 56 18 25 18 2 2 1 3 0 0 1 12 33 15 8 13 18 0 0 1 8 0 4 7 11 21 12 28 20 54
ZT3D7_G4238 0 2 4 5 0 135 0 100 174 1 0 1 2 4 8 94 43 0 179 83 149 102 0 0 0 1 6 2 1 5 93 12 183 215 223 0 0 0 12 1 4 8 24 19 16 101 75 221
ZT3D7_G4239 1 6 11 9 3 614 1 622 769 5 14 3 6 13 42 257 128 3 482 358 660 530 1 8 1 3 7 6 3 21 228 74 508 544 845 2 9 11 81 5 13 23 86 116 114 767 554 618
ZT3D7_G4240 2 11 6 7 5 848 4 570 908 8 8 1 8 20 35 561 243 1 881 354 718 596 5 11 1 7 15 10 1 16 353 210 649 712 923 6 11 7 103 2 12 34 145 144 126 908 717 807
ZT3D7_G4241 0 1 2 6 0 147 0 163 195 4 2 4 1 3 5 190 85 0 314 144 231 151 1 0 0 2 2 2 1 14 93 57 152 230 228 2 4 0 38 0 6 3 54 43 43 220 220 261
ZT3D7_G4242 2 7 4 7 1 177 0 187 157 10 6 3 3 3 6 53 18 0 46 79 144 117 0 1 0 1 5 0 2 3 41 14 151 107 288 0 2 0 25 0 9 2 22 23 15 216 185 219
ZT3D7_G4243 0 1 3 1 2 21 0 28 42 3 5 6 7 10 15 103 41 0 137 48 141 85 0 0 0 0 5 4 0 6 38 35 40 56 61 0 1 3 10 1 1 8 12 10 9 31 22 42
ZT3D7_G4244 2 0 0 1 0 22 2 29 40 23 16 23 14 2 17 77 31 0 160 588 832 893 1 15 6 7 7 3 1 10 89 9 403 687 578 4 14 27 104 0 12 21 10 19 23 1398 530 612
ZT3D7_G4245 0 14 9 29 10 3494 6 3638 4203 26 44 32 34 23 79 807 299 8 2975 3849 4842 4353 9 47 18 25 44 35 10 78 736 215 4363 4172 6183 16 29 22 390 2 58 77 246 232 299 5586 3640 4399
ZT3D7_G4246 0 4 3 6 3 497 3 624 623 7 6 9 4 6 38 110 61 0 264 457 636 593 6 3 2 10 12 0 2 24 250 110 756 812 1203 2 12 6 87 0 19 15 64 92 64 1042 918 971
ZT3D7_G4247 0 7 9 23 10 639 3 502 778 12 5 5 10 7 30 482 132 1 651 517 717 595 7 3 1 1 22 14 6 14 260 106 667 694 819 11 9 3 74 1 27 29 74 81 93 757 700 818
ZT3D7_G4248 6 18 9 13 7 1253 3 1099 1316 32 39 22 43 23 85 510 264 1 1100 1290 1626 1519 7 26 4 19 37 17 10 68 336 185 1346 1623 1848 18 18 19 191 8 35 74 201 202 175 2031 1349 1561
ZT3D7_G4249 0 0 1 1 0 1038 3 2777 951 4 5 8 3 3 0 225 30 0 1097 1196 1383 1316 0 0 0 0 0 1 0 7 134 30 767 971 1267 1 9 16 272 0 5 6 18 3 8 4667 1920 3228
ZT3D7_G4250 0 1 1 1 3 894 0 1433 1241 1 7 10 4 3 6 196 58 1 596 896 987 957 0 4 0 0 3 2 0 7 103 38 668 670 1253 3 7 8 285 2 9 17 50 35 45 4298 2372 2792
ZT3D7_G4251 0 0 0 0 0 139 0 142 120 0 0 4 0 1 1 11 6 0 40 218 190 199 0 0 0 1 0 0 0 0 13 10 79 76 92 1 2 0 12 1 2 0 5 2 4 137 81 113
ZT3D7_G4252 0 0 0 0 0 0 0 5 0 0 1 0 0 0 0 14 3 0 12 26 37 17 0 0 0 0 0 0 0 0 0 0 0 2 4 0 0 0 0 0 0 0 0 0 0 3 2 0
ZT3D7_G4253 0 1 7 5 3 404 3 377 224 3 2 0 6 3 20 369 88 0 743 2125 424 1745 3 0 1 4 3 1 1 13 128 64 196 198 225 2 0 2 195 0 1 11 271 43 54 2981 2340 1814
ZT3D7_G4254 10 19 16 31 17 3242 13 2692 2898 33 38 24 47 25 99 1112 459 1 2226 2423 3099 2529 8 23 5 21 27 30 10 61 811 419 2811 2752 4064 24 36 21 321 8 29 56 420 310 242 3989 3449 3255
ZT3D7_G4255 1 8 11 10 11 528 1 394 654 12 20 20 26 10 28 702 258 4 1047 477 629 564 5 18 1 5 17 10 5 34 292 148 430 511 516 9 12 18 101 8 27 38 170 134 115 758 661 859
ZT3D7_G4256 2 5 6 13 5 1309 2 993 1448 0 13 7 1 3 31 522 127 1 1039 859 1261 1001 2 4 1 3 4 2 5 32 293 175 1267 1363 1610 1 6 3 135 3 23 25 68 79 97 1766 1501 1679
ZT3D7_G4257 0 5 5 8 1 710 1 537 785 11 5 7 4 8 23 153 56 0 390 486 919 776 0 6 5 6 1 4 4 19 165 72 746 570 969 7 10 2 74 1 10 28 55 49 58 905 713 695
ZT3D7_G4258 5 9 5 11 3 527 1 409 541 10 14 8 5 5 14 172 89 0 382 386 563 420 1 10 3 2 18 4 3 23 104 46 378 416 539 11 15 7 78 6 14 21 68 58 82 682 577 643
ZT3D7_G4259 7 11 6 5 5 2218 9 3014 3312 7 3 3 5 2 18 258 58 9 1559 3968 4008 4172 2 11 1 2 12 3 10 13 248 120 2055 2534 3639 5 10 17 294 7 13 31 77 51 53 4877 3294 3347
ZT3D7_G4260 5 9 3 4 2 855 8 860 924 23 31 35 20 10 50 352 111 7 726 973 1114 1170 11 37 8 17 11 15 11 21 267 187 1479 1340 1711 23 24 23 122 1 16 34 92 83 94 1768 938 1251
ZT3D7_G4261 0 0 0 0 1 83 0 63 55 0 0 0 0 0 3 2 3 0 2 27 25 49 0 0 2 2 1 0 0 1 28 2 54 40 63 0 1 2 26 0 0 2 3 4 0 267 109 90
ZT3D7_G4262 2 5 3 7 6 623 4 535 712 30 19 19 10 6 24 326 97 1 929 641 777 784 1 6 4 9 11 2 3 41 254 119 531 573 774 6 15 25 128 0 13 21 84 91 64 1583 901 803
ZT3D7_G4263 3 19 3 21 3 265 1 208 287 10 9 9 8 12 32 333 131 6 710 141 358 249 4 3 2 6 8 9 8 31 303 122 363 331 355 8 6 4 56 2 21 24 120 116 96 220 193 441
ZT3D7_G4264 5 21 17 27 11 3043 7 2234 2968 9 11 16 28 37 79 2233 783 4 4542 2516 3182 2235 3 18 7 12 30 28 15 91 957 523 2821 2860 3337 12 19 51 284 4 43 63 391 382 433 2660 2720 3007
ZT3D7_G4265 3 7 3 20 6 968 11 972 1023 24 20 20 15 17 55 310 193 0 551 842 1063 1086 1 19 4 9 12 8 4 31 411 245 1128 1144 1434 10 18 23 159 2 47 50 184 140 149 1743 1016 1398
ZT3D7_G4266 4 31 20 24 13 448 6 454 529 42 56 30 44 24 117 408 240 0 849 747 871 886 7 19 9 11 28 19 13 103 454 325 438 595 670 9 13 24 137 2 55 73 171 205 184 928 474 642
ZT3D7_G4267 0 1 2 1 2 61 1 45 49 2 2 5 1 0 5 53 18 0 76 116 84 68 3 2 0 0 1 3 0 3 20 2 36 46 44 0 0 0 9 0 3 1 10 5 19 53 67 90
ZT3D7_G4268 0 4 2 9 4 242 0 210 423 7 2 3 14 11 19 713 220 0 974 284 404 287 6 3 1 9 8 4 1 19 208 109 265 458 268 5 5 3 33 1 23 20 133 74 90 211 248 291
ZT3D7_G4269 1 5 4 6 1 397 0 312 541 6 1 2 8 7 22 67 36 0 98 187 230 276 1 0 2 7 3 6 0 13 171 29 442 442 673 1 6 1 46 2 9 17 38 44 49 612 620 575
ZT3D7_G4270 16 27 26 57 15 6557 17 5067 6738 61 56 29 65 50 123 1782 804 3 5395 8093 8163 6412 11 48 25 27 73 43 16 145 1469 669 6772 8003 8469 32 44 61 665 8 76 114 492 461 598 8384 6868 6662
ZT3D7_G4271 10 2 10 5 3 942 4 1055 1212 37 64 32 43 12 45 691 191 11 1367 2231 2002 1931 2 2 2 8 6 5 7 26 235 83 843 1375 1048 18 26 38 217 2 12 27 115 97 65 3044 2206 2398
ZT3D7_G4272 13 5 13 5 7 481 3 408 625 86 54 33 55 14 42 598 239 10 1155 1140 1571 1313 4 11 3 6 24 8 23 29 194 59 413 646 492 43 33 96 113 22 37 32 115 87 71 1075 779 1278
ZT3D7_G4273 0 0 3 2 1 165 0 224 91 10 4 6 7 3 16 29 24 0 65 182 200 192 1 8 3 4 6 3 6 24 32 33 134 133 179 10 9 2 49 1 18 12 16 28 37 439 182 347
ZT3D7_G4274 2 5 6 17 6 659 2 567 674 11 7 2 8 9 25 331 117 0 888 539 931 750 7 16 11 11 11 7 0 52 270 141 603 681 738 9 10 11 112 0 24 27 132 106 119 967 665 992
ZT3D7_G4275 0 2 5 11 8 169 1 199 190 11 2 7 9 7 13 252 114 3 490 268 313 304 6 3 3 5 8 3 0 25 202 102 269 294 337 3 7 0 56 0 11 25 65 99 95 357 190 310
ZT3D7_G4276 9 44 33 46 21 3973 8 4589 3794 56 117 75 96 95 243 4699 2093 7 6828 6743 8236 9079 15 62 17 25 90 33 29 263 2775 760 3411 4325 4348 69 71 49 729 2 126 207 1295 969 1235 4959 4517 8375
ZT3D7_G4277 0 4 2 13 4 2228 4 1713 2382 6 16 7 5 1 13 424 86 2 927 1634 1925 1803 1 1 0 4 4 5 2 21 207 102 1069 1145 1580 4 11 13 164 1 11 12 72 47 56 2071 1695 2169
ZT3D7_G4278 1 11 3 12 5 550 3 485 725 11 7 12 14 3 40 156 62 0 376 592 805 626 3 11 4 7 6 10 3 20 219 77 737 840 1087 2 2 8 77 0 7 13 39 85 45 766 743 651
ZT3D7_G4279 0 5 0 9 2 2597 0 1025 2403 6 1 3 2 3 12 251 38 1 1000 1720 2639 2468 3 4 0 2 3 1 0 4 154 30 397 734 521 0 1 2 114 0 6 7 20 19 50 1809 1011 1739
ZT3D7_G4280 0 0 1 3 2 352 0 192 439 4 7 3 1 0 9 99 36 0 312 285 556 386 0 0 1 3 1 1 1 8 85 31 235 351 314 2 6 7 37 0 6 4 26 26 32 318 268 417
ZT3D7_G4281 0 0 1 2 1 111 0 66 79 0 2 0 0 1 0 32 16 0 77 75 147 94 0 0 0 0 0 0 0 2 16 15 88 53 67 0 0 0 8 0 2 3 4 6 8 96 77 111
ZT3D7_G4282 2 1 2 5 4 264 0 225 343 5 9 8 6 6 14 100 31 2 235 215 352 291 3 0 5 1 4 2 4 14 117 42 330 365 480 5 5 12 51 2 8 15 48 71 47 468 415 593
ZT3D7_G4283 1 22 15 36 13 4740 7 4335 4455 12 22 28 29 20 49 545 232 0 1645 3293 4212 3834 6 10 8 18 16 20 13 66 605 269 3869 3270 5200 13 26 19 440 3 42 43 174 162 192 6136 4279 4944
ZT3D7_G4284 5 15 12 26 17 1820 3 1500 1750 64 47 53 45 22 89 826 346 11 1560 1098 1972 1568 11 55 15 25 35 29 7 102 771 307 1703 1839 1765 20 43 43 182 12 62 90 209 207 198 1505 1126 1804
ZT3D7_G4285 0 12 14 15 13 1047 1 1160 1256 10 13 20 21 11 27 139 123 1 318 483 785 857 9 10 2 6 12 11 7 26 361 158 689 619 1126 5 11 2 141 2 15 28 103 119 62 1550 1057 1374
ZT3D7_G4286 3 8 6 21 7 2114 0 1330 2428 11 4 13 10 8 30 422 115 1 1032 1075 1649 1332 3 12 2 4 13 13 2 57 471 86 1568 1852 1951 8 7 7 206 0 23 27 102 113 124 2106 1609 2265
ZT3D7_G4287 2 2 6 19 2 1414 1 1377 1912 24 18 21 17 10 26 548 148 3 1212 1240 1679 1469 3 17 2 8 15 13 6 24 289 187 2127 2020 2989 26 18 29 150 5 30 24 102 75 106 1855 1574 2548
ZT3D7_G4288 5 11 13 15 10 714 8 563 670 45 45 40 58 27 62 298 190 5 486 478 919 765 9 29 14 14 27 6 9 20 344 148 660 636 751 18 25 29 107 4 35 58 120 114 123 768 488 1099
ZT3D7_G4289 0 4 1 2 1 108 3 144 99 6 11 6 3 1 3 111 33 0 130 244 226 249 1 7 1 1 1 7 0 6 32 8 89 128 148 2 5 2 13 0 6 13 39 18 26 200 127 239
ZT3D7_G4290 15 40 27 49 30 17954 6 17484 20052 38 40 28 47 92 146 3175 1424 5 7369 13980 16431 15265 19 64 15 38 61 53 32 182 3437 1723 19100 21626 27151 40 36 45 1503 8 97 133 1355 950 604 20800 19255 17768
ZT3D7_G4291 13 2 16 19 5 4353 13 4786 5069 41 56 41 108 13 75 1227 346 12 2776 6247 6837 7230 5 57 5 8 18 5 27 43 357 177 3456 3264 5086 26 22 56 245 21 21 27 184 71 85 3729 3412 4608
