"","3D1-1-7d_R1","3D1-8-12d_R1","3D1-7-14d_R1","3D1-9-14d_R1","3D1-10-14d_R1","3D1-1-28d_R1","3D1-2-7d_R1","3D1-4-28d_R1","3D1-5-28d_R1","3D7-2-7d_R1","3D7-8-7d_R1","3D7-10-7d_R1","3D7-2-12d_R1","3D7-3-12d_R1","3D7-6-12d_R1","3D7-4-14d_R1","3D7-5-14d_R1","3D1-3-7d_R1","3D7-10-14d_R1","3D7-1-28d_R1","3D7-5-28d_R1","3D7-10-28d_R1","3D1-2-12d_R1","3D1-5-12d_R1"
"ZT3D7_G2177",9,19,14,29,21,372,5,442,530,31,20,30,31,16,78,756,286,2,996,260,466,397,10,7
"ZT3D7_G2178",0,1,1,4,2,275,1,205,265,19,23,20,14,7,25,51,66,2,104,252,350,335,2,1
"ZT3D7_G2179",0,0,4,10,2,685,0,831,844,11,22,9,2,3,10,476,55,2,1268,1109,1418,1293,0,0
"ZT3D7_G2180",1,3,1,0,2,409,0,314,452,2,8,2,5,6,13,193,83,0,265,312,507,429,2,0
"ZT3D7_G2181",2,3,1,5,0,121,0,159,123,2,0,0,6,3,15,92,38,0,313,230,396,232,0,0
"ZT3D7_G2182",0,0,0,1,1,80,0,136,82,1,0,0,5,0,0,13,12,0,71,97,95,112,1,1
"ZT3D7_G2183",0,0,0,1,0,7,0,8,6,1,0,0,0,0,0,1,0,0,11,7,6,9,0,0
"ZT3D7_G2184",2,7,1,5,3,236,0,127,201,3,14,3,7,5,18,62,29,0,179,129,251,201,0,0
"ZT3D7_G2185",0,0,1,0,1,92,2,99,97,7,6,1,3,2,7,60,17,0,143,131,243,138,1,0
"ZT3D7_G2186",1,3,1,3,1,237,0,195,266,10,9,11,5,4,4,300,86,0,735,257,442,359,1,2
"ZT3D7_G2187",0,0,0,1,0,161,1,138,124,2,2,1,0,1,2,283,54,0,900,178,247,209,0,0
"ZT3D7_G2188",3,11,1,1,4,0,1,7,4,8,15,29,19,9,83,10,9,0,6,4,34,35,0,1
"ZT3D7_G2189",0,4,1,2,1,98,19,86,106,8,2,2,19,5,7,89,35,1,105,84,183,104,8,0
"ZT3D7_G2190",4,2,2,2,2,128,1,64,118,2,1,1,1,1,12,95,42,0,81,61,111,72,1,1
"ZT3D7_G2191",0,1,0,8,2,75,0,93,109,2,3,1,7,1,16,20,7,0,32,65,122,100,3,0
"ZT3D7_G2192",0,8,5,12,8,59,1,45,95,7,3,6,7,8,31,51,53,0,71,22,96,61,3,1
"ZT3D7_G2193",0,36,16,51,16,868,7,170,1018,23,6,8,35,26,103,252,229,1,939,405,969,763,19,1
"ZT3D7_G2194",0,1,1,1,3,3,0,4,10,1,0,1,6,0,8,6,7,0,8,5,6,0,3,0
"ZT3D7_G2195",9,16,13,25,11,2213,8,2160,2351,23,28,19,50,23,66,875,282,6,1631,2162,2336,2366,6,11
"ZT3D7_G2196",14,12,15,15,6,856,8,811,906,51,26,32,55,34,46,844,479,1,970,742,696,878,9,4
"ZT3D7_G2197",0,0,1,1,1,92,0,197,61,5,5,3,3,2,4,27,12,0,36,240,211,214,1,0
"ZT3D7_G2198",37,82,70,170,61,5498,31,4515,4708,152,174,106,123,162,468,3122,1772,17,6793,3142,4182,4256,57,41
"ZT3D7_G2199",5,21,18,24,21,718,1,818,772,30,34,28,22,19,106,387,295,2,723,513,772,820,12,1
"ZT3D7_G2200",0,15,25,71,15,378,3,293,544,11,10,16,18,30,63,182,143,5,558,962,1262,1087,16,9
"ZT3D7_G3451",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,1,0,0
"ZT3D7_G3452",0,0,0,0,0,9,0,4,17,0,0,0,2,0,3,18,12,0,25,27,35,20,0,0
"ZT3D7_G3453",1,3,2,4,1,138,1,149,203,1,2,3,0,1,9,95,37,0,190,150,201,157,1,0
"ZT3D7_G3454",2,2,3,2,2,3046,2,3864,3149,18,19,38,21,13,18,535,144,1,2063,3534,3613,4196,10,16
"ZT3D7_G3455",0,1,1,0,1,43,0,31,42,4,3,0,0,2,5,88,27,1,144,112,57,66,1,0
"ZT3D7_G3456",2,7,9,10,4,498,3,375,533,5,7,2,11,7,28,335,172,0,588,419,561,479,3,0
"ZT3D7_G3457",2,5,3,4,1,536,0,550,481,14,5,9,21,6,37,227,86,1,430,622,737,719,2,2
"ZT3D7_G3458",0,0,0,0,0,37,0,22,33,0,0,0,1,0,0,50,4,0,58,48,46,47,0,0
"ZT3D7_G3459",0,0,0,1,0,32,0,33,41,0,0,0,0,0,0,1,1,0,3,13,21,18,0,0
"ZT3D7_G3460",3,1,0,4,2,200,0,218,178,3,5,4,7,2,9,135,40,1,237,104,158,134,0,0
"ZT3D7_G3461",0,0,0,0,0,3,0,1,3,0,0,0,2,0,1,64,14,0,133,33,43,34,0,0
"ZT3D7_G3462",0,5,0,6,0,559,1,382,610,4,0,1,2,5,7,145,42,0,376,455,553,424,1,0
"ZT3D7_G3463",1,5,7,13,4,2935,5,2355,2796,5,21,16,26,8,38,345,119,0,1213,2408,3095,2870,5,3
"ZT3D7_G3464",0,1,3,3,2,217,2,177,233,4,2,1,0,2,14,63,26,0,89,178,267,184,3,0
"ZT3D7_G3465",1,0,2,4,3,605,2,514,427,3,3,3,1,1,4,33,11,1,79,761,458,606,0,1
"ZT3D7_G3466",80,26,34,26,12,52957,71,49814,47405,232,292,277,437,50,289,3162,886,28,13108,44647,45297,47611,60,73
"ZT3D7_G3467",0,2,3,1,1,81,0,75,106,2,6,1,7,2,7,123,32,0,138,42,79,50,1,1
"ZT3D7_G3468",1,4,2,3,3,208,1,154,251,7,11,7,10,8,31,79,54,0,179,191,292,264,2,5
"ZT3D7_G3469",2,2,0,1,1,24,1,47,39,0,6,2,4,0,6,2,1,0,4,26,53,49,1,0
"ZT3D7_G3470",0,1,0,2,0,55,2,93,83,2,2,14,0,4,8,51,30,0,85,69,71,71,2,0
"ZT3D7_G3471",12,6,6,8,2,21659,14,20198,19794,69,73,73,59,14,83,1158,254,7,4983,15899,18218,18998,11,32
"ZT3D7_G3472",0,0,0,0,0,10,0,24,13,1,0,0,0,0,0,8,0,0,15,58,60,76,0,5
"ZT3D7_G3473",1,0,2,2,3,585,0,458,582,2,2,1,3,0,6,27,15,0,61,236,217,186,5,0
"ZT3D7_G3474",125,92,163,184,192,3628,108,3820,3960,1143,1107,1112,1993,246,885,8013,4129,79,3720,4111,3886,4720,143,210
"ZT3D7_G3475",0,0,0,0,0,0,0,1,0,0,2,3,2,5,16,55,32,0,133,83,124,93,0,0
"ZT3D7_G3476",0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,10,9,0,23,16,14,13,0,0
"ZT3D7_G3477",0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,4,1,0,0,2,8,8,0,0
"ZT3D7_G3478",0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,4,0,3,17,21,24,0,0
"ZT3D7_G3479",2,3,1,1,0,18,1,12,20,1,3,1,1,1,6,13,6,0,55,23,27,20,1,3
"ZT3D7_G3480",2,2,0,7,2,203,3,154,118,5,7,4,3,1,10,56,42,4,147,60,77,66,1,0
"ZT3D7_G3481",6,11,5,15,9,1603,9,1493,1839,22,17,21,27,22,55,707,176,2,2083,2222,2339,2230,9,10
"ZT3D7_G3482",1,5,2,6,2,1408,2,1280,1220,4,13,14,10,1,8,128,51,1,580,1424,1507,1309,3,3
"ZT3D7_G3483",2,4,9,8,3,810,0,582,871,20,12,14,22,11,38,93,65,0,219,427,759,605,6,6
"ZT3D7_G3484",0,0,0,1,0,68,0,70,72,3,0,1,2,2,6,53,25,1,83,84,82,65,0,0
"ZT3D7_G3485",3,6,8,5,3,909,1,786,1031,2,16,11,16,10,30,261,134,0,619,625,963,888,7,1
"ZT3D7_G3486",2,9,2,5,2,474,3,350,518,14,3,5,6,2,14,244,77,1,410,294,527,363,1,0
"ZT3D7_G3487",11,20,25,51,5,676,10,538,861,31,17,19,38,26,72,384,228,5,814,591,573,620,17,20
"ZT3D7_G3488",1,0,1,6,5,20,0,22,15,6,4,9,3,1,12,43,22,0,55,36,50,26,1,0
"ZT3D7_G3489",2,7,2,12,2,24,5,32,63,3,6,2,3,2,24,93,53,2,111,24,43,35,6,4
"ZT3D7_G3490",3,3,3,3,0,16,1,26,25,1,1,1,6,4,13,26,7,0,22,8,28,12,0,0
"ZT3D7_G3491",5,3,4,4,2,114,3,97,123,6,0,0,9,3,10,24,25,0,47,20,59,36,9,3
"ZT3D7_G3492",4,8,5,6,1,150,2,166,179,4,3,5,5,2,28,21,23,2,63,83,124,111,8,4
"ZT3D7_G3493",0,12,8,10,3,191,0,302,351,4,9,4,9,10,27,151,89,1,413,484,633,469,2,6
"ZT3D7_G3494",1,2,2,4,4,188,2,204,238,12,5,10,8,8,22,535,154,0,978,392,518,466,3,0
"ZT3D7_G3495",0,10,7,14,3,2216,0,3346,2460,6,13,4,14,18,78,525,187,0,1808,3430,6142,4655,8,0
"ZT3D7_G3496",8,14,14,13,7,1238,5,1108,1646,34,20,28,32,18,53,861,235,1,2345,1870,3331,2623,10,3
