"","1A5-1-7d_R1","1A5-7-7d_R1","1A5-10-7d_R1","1A5-3-12d_R1","1A5-5-12d_R1","1A5-7-12d_R1","1A5-8-14d_R1","1A5-9-14d_R1","1A5-10-14d_R1","1A5-3-28d_R1","1A5-6-28d_R1","1A5-7-28d_R1","1E4-4-7d_R1","1E4-5-7d_R1","1E4-6-7d_R1","1E4-3-12d_R1","1E4-6-12d_R1","1E4-7-12d_R1","1E4-5-14d_R1","1E4-8-14d_R1","1E4-10-14d_R1","1E4-3-28d_R1","1E4-4-28d_R1","1E4-6-28d_R1"
"ZT3D7_G1",0,0,0,0,1,0,6,20,19,31,32,35,0,0,0,0,0,0,0,0,0,0,0,0
"ZT3D7_G2",0,1,3,2,10,3,23,146,99,230,292,286,4,11,12,43,14,16,67,61,59,318,186,362
"ZT3D7_G3",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,2,3,2
"ZT3D7_G4",0,0,0,0,0,0,0,31,0,20,11,25,0,0,0,2,0,3,5,6,3,13,25,26
"ZT3D7_G5",0,1,0,0,0,0,0,5,4,9,4,21,0,0,0,2,3,0,2,2,8,17,10,16
"ZT3D7_G6",4,2,7,6,18,7,33,185,87,435,361,658,9,6,12,57,13,29,114,89,99,623,504,454
"ZT3D7_G7",0,7,1,4,5,3,39,280,162,388,441,391,2,2,2,43,6,22,127,132,148,319,357,308
"ZT3D7_G8",0,2,0,0,0,0,0,146,80,283,386,423,0,2,4,53,1,0,76,14,22,754,558,406
"ZT3D7_G9",3,5,2,2,7,9,24,198,119,369,320,523,10,8,5,48,15,23,158,132,104,498,350,341
"ZT3D7_G10",5,16,6,11,23,9,46,226,118,573,631,781,3,4,9,98,12,24,97,103,106,845,563,756
"ZT3D7_G11",3,18,8,31,27,9,60,546,245,2428,2697,3439,20,27,45,382,51,61,286,262,241,5208,3475,3631
"ZT3D7_G12",0,0,1,0,0,0,6,92,24,54,57,42,0,1,0,11,1,0,4,6,2,58,17,33
"ZT3D7_G13",2,11,1,8,10,10,43,283,66,462,586,722,10,4,4,70,13,23,134,128,85,603,442,599
"ZT3D7_G14",0,2,0,0,2,6,22,250,48,428,532,775,0,4,3,42,16,7,59,36,22,292,270,425
"ZT3D7_G15",1,9,6,6,9,8,14,251,108,311,300,449,6,3,5,71,13,32,116,116,78,381,176,369
"ZT3D7_G16",0,0,0,0,1,0,0,44,15,23,64,45,0,2,4,40,19,11,29,44,44,376,151,284
"ZT3D7_G17",240,40,49,470,907,991,1090,2586,1623,1687,1296,1478,374,277,124,4985,2202,4067,5636,8422,10108,1635,1773,1571
"ZT3D7_G18",7,6,5,4,5,14,9,119,60,1379,1536,2287,3,9,17,224,19,11,33,38,44,3298,1761,2282
"ZT3D7_G19",0,0,1,2,5,1,3,32,1,71,65,89,2,1,4,19,3,7,26,21,22,241,162,298
"ZT3D7_G20",2,1,2,6,9,10,44,402,151,478,672,836,2,3,1,97,6,13,50,97,89,869,680,1017
"ZT3D7_G21",3,19,3,8,11,7,20,207,112,403,419,480,4,16,6,59,9,13,64,72,54,362,328,505
"ZT3D7_G22",11,13,8,13,17,14,35,1205,635,1549,1447,1904,6,12,12,227,49,60,334,255,152,1960,1520,2365
"ZT3D7_G23",5,15,3,8,16,6,11,406,120,8314,8367,10697,11,45,16,1505,23,39,75,31,57,25388,17010,20127
"ZT3D7_G24",0,0,0,0,0,0,2,3,2,10,17,21,0,0,0,8,0,0,2,0,4,95,38,66
"ZT3D7_G25",4,1,2,0,0,0,1,37,1,80,123,117,1,3,4,37,3,2,13,17,27,347,187,297
"ZT3D7_G26",28,194,74,67,98,65,67,652,426,6336,5863,9138,141,121,197,998,74,176,258,164,188,14944,6969,7725
"ZT3D7_G27",1,14,5,8,13,6,29,145,72,790,738,991,5,17,7,111,27,43,75,112,43,1330,801,1045
"ZT3D7_G28",0,0,0,0,1,0,3,41,26,180,230,271,1,0,1,28,10,4,13,19,32,267,188,266
"ZT3D7_G29",0,0,0,0,0,3,0,5,0,4,3,11,0,0,0,1,0,0,0,0,0,7,3,2
"ZT3D7_G30",2,0,0,3,0,0,6,23,4,29,24,26,0,0,0,6,1,1,5,7,7,29,15,19
"ZT3D7_G31",4,10,3,3,7,7,19,154,74,199,317,304,2,6,11,43,8,28,39,45,49,313,198,398
"ZT3D7_G32",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"ZT3D7_G33",13,29,6,9,21,14,35,265,108,304,379,355,14,16,15,94,53,68,134,171,109,565,307,525
"ZT3D7_G34",5,8,1,8,2,5,7,143,33,259,251,346,1,7,1,22,5,3,6,24,13,173,74,97
"ZT3D7_G35",13,40,24,27,39,27,26,437,340,840,906,1216,18,39,11,99,43,60,159,145,93,1214,758,1045
"ZT3D7_G36",1,3,2,3,3,2,16,73,31,269,444,441,0,3,0,83,6,14,51,31,16,1013,702,1503
"ZT3D7_G37",0,2,2,0,3,1,19,55,21,74,69,88,4,4,3,28,4,10,17,28,23,74,65,123
"ZT3D7_G38",0,0,1,0,1,1,3,68,26,157,127,204,4,5,0,16,2,5,9,8,21,157,137,223
"ZT3D7_G39",2,2,1,5,2,0,7,109,22,212,302,279,2,1,0,655,6,7,17,24,10,10742,6270,14815
"ZT3D7_G40",0,7,3,0,5,6,21,197,54,259,560,321,0,2,4,186,9,5,42,29,43,2996,1802,3494
"ZT3D7_G41",0,2,0,4,3,0,31,419,132,937,1232,1444,0,0,0,275,5,9,55,59,77,4153,2795,3670
"ZT3D7_G42",0,0,0,0,0,0,0,5,0,1,8,6,0,0,0,0,0,0,0,0,0,3,3,2
"ZT3D7_G43",0,0,0,0,1,0,2,27,8,186,233,354,0,1,0,18,0,0,0,4,2,459,271,408
"ZT3D7_G44",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"ZT3D7_G45",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZT3D7_G46",0,0,0,0,0,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,1,4,2,0
"ZT3D7_G47",7,6,4,14,19,18,61,253,206,1453,1085,2167,15,24,12,270,64,60,250,291,162,2197,1399,1312
"ZT3D7_G48",0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"ZT3D7_G49",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZT3D7_G50",0,0,0,0,1,0,2,2,3,16,4,10,0,0,0,0,0,0,0,0,0,3,0,0
"ZT3D7_G51",1,0,0,0,0,0,1,0,0,3,8,8,0,0,0,1,3,0,0,1,0,12,14,23
"ZT3D7_G52",0,16,4,0,10,1,12,210,117,558,639,720,8,12,11,94,18,28,157,92,135,1142,942,990
"ZT3D7_G53",3,6,3,0,8,1,12,111,19,671,778,971,3,6,4,63,1,3,9,9,13,1056,674,1100
"ZT3D7_G54",1,0,0,0,3,8,1,22,17,2,2,4,0,0,0,0,0,0,0,1,0,0,0,0
"ZT3D7_G55",0,0,0,4,1,3,8,7,12,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0
"ZT3D7_G56",3,6,4,2,4,2,14,98,55,199,204,254,3,4,8,15,5,13,33,17,19,168,128,219
"ZT3D7_G57",3,12,3,7,1,0,4,31,5,63,87,92,0,12,4,57,23,26,124,126,87,266,205,187
"ZT3D7_G58",1,0,0,1,1,1,9,57,16,42,50,52,1,2,0,20,1,3,36,12,29,94,68,134
"ZT3D7_G59",0,0,0,0,0,0,0,3,2,20,58,17,0,0,1,4,0,0,14,9,6,42,36,73
"ZT3D7_G60",0,4,3,3,6,4,29,319,155,1329,1111,2075,0,3,5,96,7,4,68,57,53,1564,1329,1319
"ZT3D7_G61",0,0,0,0,1,1,3,36,1,263,270,369,0,1,0,29,2,5,11,11,17,327,252,264
"ZT3D7_G62",0,0,0,1,1,0,3,11,33,70,104,58,0,0,1,5,0,0,0,3,0,12,10,11
"ZT3D7_G63",6,5,6,12,13,7,16,258,171,246,250,387,7,5,13,48,19,28,117,109,83,425,256,355
"ZT3D7_G64",7,9,2,5,5,8,18,204,104,208,239,275,12,12,5,66,12,39,108,102,89,621,267,342
"ZT3D7_G65",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZT3D7_G66",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZT3D7_G67",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZT3D7_G68",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0
"ZT3D7_G69",0,0,0,0,3,0,0,22,7,65,96,72,0,0,0,0,0,0,0,0,0,0,0,0
"ZT3D7_G70",0,0,0,0,0,0,0,0,10,7,2,9,0,0,0,0,0,0,0,0,0,2,0,1
"ZT3D7_G71",68,83,29,56,131,235,140,662,222,723,955,1123,71,141,83,415,207,391,580,419,364,398,302,509
"ZT3D7_G72",0,0,0,1,8,8,14,82,23,127,166,181,2,1,0,21,11,11,14,13,19,37,33,44
"ZT3D7_G73",0,0,0,0,0,0,0,9,5,11,5,7,1,0,0,4,1,0,4,3,5,7,9,20
"ZT3D7_G74",10,64,21,20,28,14,46,583,287,2902,2538,3924,39,62,47,362,41,48,117,89,112,5409,3774,4166
"ZT3D7_G75",0,0,0,0,0,0,0,1,2,3,15,7,0,0,0,5,1,2,1,2,2,11,7,19
"ZT3D7_G76",33,131,57,53,43,35,41,124,52,689,670,968,76,91,53,143,64,88,30,31,51,1133,449,936
"ZT3D7_G77",0,3,0,2,2,2,1,28,11,33,24,69,0,0,0,4,3,4,21,19,6,41,22,15
"ZT3D7_G78",1,24,4,0,3,2,0,6,0,1,13,9,5,2,9,6,11,9,2,2,4,43,25,93
"ZT3D7_G79",1,3,1,0,1,4,5,43,38,118,139,173,2,3,4,9,4,7,16,21,20,103,31,30
"ZT3D7_G80",0,2,0,0,1,1,0,14,1,8,16,36,0,1,2,0,3,0,8,2,0,6,3,6
"ZT3D7_G81",1,4,3,0,5,3,21,81,61,139,143,221,2,2,1,39,7,11,53,40,23,204,155,146
"ZT3D7_G82",0,4,0,1,4,4,4,42,21,257,191,371,0,5,2,21,3,11,18,19,15,363,293,254
"ZT3D7_G83",90,547,227,190,367,189,650,15363,8822,98276,97772,125168,531,561,552,7704,403,878,5104,2669,2425,118908,69745,61830
"ZT3D7_G84",0,0,0,0,0,0,0,1,0,4,7,6,0,0,0,0,1,0,1,1,2,7,1,5
"ZT3D7_G85",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZT3D7_G86",0,1,1,0,0,0,0,2,3,2,20,10,0,0,0,1,2,0,0,0,0,33,17,16
"ZT3D7_G87",0,0,0,0,0,0,2,7,7,19,7,27,0,0,0,2,13,8,20,7,19,23,10,10
"ZT3D7_G88",0,0,0,0,0,2,0,10,3,5,13,20,0,1,0,8,0,2,7,3,4,19,5,14
"ZT3D7_G89",0,0,2,1,12,9,17,126,59,360,425,518,5,3,1,49,17,14,45,25,70,407,438,488
"ZT3D7_G90",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZT3D7_G91",0,1,0,0,0,0,6,1,2,1,12,8,0,1,0,2,0,0,0,0,0,3,9,3
"ZT3D7_G92",2,2,1,0,2,1,20,77,39,26,44,60,0,0,3,10,5,5,30,35,19,34,18,43
"ZT3D7_G93",4,1,0,2,4,3,11,78,30,61,81,124,2,0,4,16,1,3,42,17,17,53,52,83
"ZT3D7_G94",0,3,2,1,0,2,1,42,37,52,33,63,1,2,0,16,6,10,19,25,32,90,46,87
"ZT3D7_G95",0,1,3,1,0,1,0,64,27,206,193,249,1,0,0,21,3,8,18,13,31,178,183,212
"ZT3D7_G96",10,11,3,8,27,17,39,347,155,498,475,587,3,14,9,132,46,51,181,168,200,704,508,668
"ZT3D7_G97",0,0,0,0,0,0,2,7,0,0,1,2,0,0,0,1,0,0,0,0,0,7,3,1
"ZT3D7_G98",1,0,0,0,0,1,1,9,0,13,26,36,0,0,0,0,0,0,0,0,4,7,4,4
"ZT3D7_G99",0,1,0,0,0,0,0,4,0,10,16,10,0,0,0,3,0,0,2,1,0,31,14,10
"ZT3D7_G100",0,0,1,1,2,0,2,30,14,67,79,70,0,1,11,6,1,0,14,9,10,94,76,147
"ZT3D7_G101",0,1,0,6,0,0,3,23,18,51,56,43,0,0,2,4,1,3,5,5,1,45,23,83
"ZT3D7_G102",2,1,0,0,0,2,7,23,15,16,20,12,2,3,5,4,5,9,28,21,18,43,30,58
"ZT3D7_G103",6,10,6,7,6,8,25,354,185,496,672,683,9,7,15,70,17,30,193,125,110,583,458,542
"ZT3D7_G104",0,4,1,1,2,0,1,101,36,266,176,354,2,4,3,28,3,14,20,31,20,308,183,184
"ZT3D7_G105",0,0,0,2,0,2,3,25,8,45,36,77,2,0,5,39,2,10,13,15,22,387,209,244
"ZT3D7_G106",5,2,2,0,11,5,12,110,43,258,331,359,4,11,12,59,7,34,45,59,90,555,384,534
"ZT3D7_G107",0,2,2,3,16,6,23,106,20,205,179,231,9,10,5,91,31,47,119,101,134,494,280,440
"ZT3D7_G108",0,1,2,0,5,2,3,61,31,174,194,289,4,12,13,40,13,23,36,50,39,309,199,404
"ZT3D7_G109",0,0,1,2,9,4,17,70,48,9,30,15,0,0,0,16,2,5,28,41,17,31,15,13
"ZT3D7_G110",4,7,5,6,14,13,37,388,118,848,832,1257,15,16,7,111,37,67,201,196,165,1113,831,993
"ZT3D7_G111",84,286,124,165,383,210,933,10994,4158,54066,58127,71959,224,291,282,5854,488,770,4606,3071,3923,79252,53198,50067
"ZT3D7_G112",42,101,64,107,218,146,527,5290,3231,15248,12404,18230,102,110,134,1279,199,402,2052,1841,1815,13147,11323,7967
"ZT3D7_G113",9,0,2,13,25,21,44,64,60,34,30,60,16,17,6,452,164,217,848,918,679,66,83,60
"ZT3D7_G114",0,6,1,1,9,1,10,104,36,412,381,375,11,8,0,47,7,7,30,15,18,453,193,567
"ZT3D7_G115",11,15,6,13,26,27,114,458,219,1052,1135,1107,9,11,5,194,53,69,272,310,280,684,557,1271
"ZT3D7_G116",0,1,1,0,1,0,0,4,0,90,51,133,2,0,0,2,0,0,0,2,2,63,50,45
"ZT3D7_G117",0,0,0,0,0,1,3,12,20,64,96,87,0,0,0,21,2,0,4,3,4,281,111,186
"ZT3D7_G118",0,0,0,0,0,0,0,5,0,20,24,20,1,0,8,5,1,2,7,2,9,39,142,95
"ZT3D7_G119",0,1,0,3,2,2,11,125,33,611,644,813,0,3,0,51,6,6,37,16,28,677,510,680
"ZT3D7_G120",13,54,37,26,60,42,190,4058,1010,17931,20306,28861,35,73,102,2253,59,112,1416,1196,451,34351,24049,24452
"ZT3D7_G121",7,21,6,7,23,11,52,650,317,1565,1485,2610,21,21,11,176,37,41,331,252,176,2101,1802,1683
"ZT3D7_G122",0,0,1,2,2,0,0,11,8,16,16,14,0,0,2,3,2,4,3,1,3,16,15,26
"ZT3D7_G123",4,8,0,4,4,1,22,93,34,341,332,370,3,3,6,41,9,15,23,29,47,357,218,303
"ZT3D7_G124",0,0,0,0,1,0,0,10,2,53,47,67,0,0,1,15,0,0,2,7,7,90,71,70
"ZT3D7_G125",16,36,20,54,98,60,255,2518,1400,11009,13186,14506,29,58,59,891,142,177,1184,919,949,11705,9680,8722
"ZT3D7_G126",0,0,0,0,0,0,1,23,4,28,66,55,0,1,0,3,0,0,5,15,9,22,39,62
"ZT3D7_G127",0,0,0,0,0,1,7,9,6,26,35,38,0,0,0,6,0,1,3,3,4,29,27,33
"ZT3D7_G128",0,9,5,6,16,10,32,255,107,840,993,1369,11,4,14,110,14,28,140,96,129,1295,985,1494
"ZT3D7_G129",2,9,5,1,11,8,13,109,50,191,227,278,2,5,10,44,12,19,75,53,42,324,157,260
"ZT3D7_G130",2,7,3,2,3,2,9,79,33,128,141,167,0,3,8,24,6,9,41,30,29,121,100,181
"ZT3D7_G131",0,0,0,0,5,0,5,14,4,22,12,37,0,0,0,5,5,0,3,16,3,10,15,24
"ZT3D7_G132",46,7,16,80,150,170,272,563,486,42,35,30,54,50,30,601,290,390,873,1483,1448,7,11,17
"ZT3D7_G133",5,25,2,11,16,14,22,202,94,410,359,536,12,7,19,84,24,33,35,76,56,439,295,618
"ZT3D7_G134",0,2,0,0,0,0,2,8,14,4,8,3,0,1,0,1,1,1,1,6,7,1,1,3
"ZT3D7_G135",0,0,0,1,0,0,0,5,0,26,26,42,0,0,5,11,0,3,3,1,4,29,25,60
"ZT3D7_G136",7,11,2,7,17,12,50,312,133,1030,1246,1588,11,13,5,142,29,37,147,143,138,1604,1249,1707
"ZT3D7_G137",0,5,6,2,9,2,15,128,22,177,245,210,2,14,8,76,17,24,92,126,118,646,365,720
"ZT3D7_G138",18,105,26,28,31,15,45,584,279,3787,3494,4858,97,123,70,529,39,62,225,93,100,8046,3487,4540
"ZT3D7_G139",0,0,0,1,0,0,0,6,1,26,44,41,0,0,0,0,0,0,0,0,0,0,1,2
"ZT3D7_G140",0,0,0,0,1,0,1,18,2,64,87,52,0,0,0,0,0,0,0,0,0,0,0,0
"ZT3D7_G141",0,0,0,0,0,0,4,8,0,0,5,2,0,0,3,2,0,0,0,0,3,1,1,5
"ZT3D7_G142",0,1,0,1,0,0,1,15,0,9,10,11,1,0,0,0,0,0,3,3,3,10,2,22
"ZT3D7_G143",2,8,4,4,18,8,28,275,106,608,708,781,7,6,29,49,12,22,80,69,118,466,475,599
"ZT3D7_G144",6,11,13,3,1,2,29,282,121,118,106,152,11,10,12,15,8,5,116,131,53,49,27,82
"ZT3D7_G145",25,90,46,16,18,22,25,118,18,47,24,26,37,79,50,39,19,31,23,11,31,153,73,121
"ZT3D7_G146",42,260,64,118,217,111,344,2485,1359,1824,1893,1873,75,107,80,506,232,437,1628,2091,1336,350,482,768
"ZT3D7_G147",2,8,1,6,9,2,21,205,89,1330,1289,2037,8,11,18,161,14,9,97,69,90,2018,1756,2123
"ZT3D7_G148",9,15,13,5,18,14,43,369,171,1693,1656,2230,10,18,31,190,18,36,192,122,164,2421,1882,2133
"ZT3D7_G149",16,19,14,14,58,28,65,891,303,4147,4288,5779,12,13,23,405,49,78,299,267,339,4292,3653,4039
"ZT3D7_G150",1,0,0,0,3,0,1,26,6,40,66,73,1,1,0,16,8,9,13,27,14,94,39,64
"ZT3D7_G151",3,3,0,8,2,4,6,229,99,41,50,72,3,3,3,36,4,7,87,58,68,83,37,84
"ZT3D7_G152",10,34,13,32,33,47,135,1016,848,1929,1853,2782,37,26,48,335,65,133,800,604,419,2354,1901,1314
"ZT3D7_G153",15,6,0,21,23,43,51,115,128,82,105,151,29,17,7,176,73,119,274,443,204,98,102,80
"ZT3D7_G154",5,2,0,1,2,5,20,23,11,25,28,34,2,0,0,26,6,20,31,21,41,26,18,33
"ZT3D7_G155",0,0,0,0,0,0,0,1,0,0,0,9,0,0,0,1,0,1,1,0,1,13,11,16
"ZT3D7_G156",0,2,2,0,0,0,0,14,8,24,84,50,1,3,5,12,2,1,8,1,5,344,132,312
"ZT3D7_G157",19,84,23,32,56,22,84,672,264,5970,5977,8314,41,64,53,538,39,82,253,177,169,7983,7644,7005
"ZT3D7_G158",3,0,0,0,0,0,2,11,0,9,4,9,1,0,0,0,3,2,7,9,3,39,33,32
"ZT3D7_G159",0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"ZT3D7_G160",5,3,3,4,5,6,17,148,87,146,181,199,6,5,0,31,16,29,111,91,75,283,72,226
"ZT3D7_G161",15,4,5,20,84,52,242,545,57,196,431,246,18,20,13,196,70,169,227,248,703,1052,372,825
"ZT3D7_G162",9,7,2,10,16,16,79,307,168,858,1103,1358,6,4,6,83,28,37,101,111,86,219,271,348
"ZT3D7_G163",2,0,1,0,0,0,5,6,0,4,6,9,0,0,0,0,0,0,0,0,0,9,4,6
"ZT3D7_G164",2,2,9,9,6,10,47,416,147,1754,2062,2818,16,6,10,172,29,36,173,140,182,2206,1933,2350
"ZT3D7_G165",1,22,1,3,8,7,29,226,69,840,849,1162,19,28,6,144,35,24,164,134,112,1842,1292,1474
"ZT3D7_G166",4,6,6,9,12,8,21,486,184,1127,1244,1509,9,9,14,110,35,50,184,133,138,1180,1257,1496
"ZT3D7_G167",1,9,2,2,8,6,15,176,71,438,492,783,3,8,15,78,16,26,44,80,45,771,492,578
"ZT3D7_G168",0,3,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,5,0,2
"ZT3D7_G169",83,725,215,98,169,91,128,133,174,96,76,135,216,135,251,76,100,193,82,35,84,485,150,95
"ZT3D7_G170",3,8,6,5,13,5,13,65,38,96,143,175,9,9,12,33,12,27,35,45,42,289,174,286
"ZT3D7_G171",4,6,5,4,5,2,2,133,58,1209,1057,1763,6,10,18,128,13,6,51,40,31,1837,1802,1623
"ZT3D7_G172",37,107,48,48,63,63,122,1337,732,2514,2767,2691,92,73,73,330,100,174,639,511,349,2827,2204,2369
"ZT3D7_G173",56,141,51,143,186,131,492,5750,3458,17174,13917,20086,115,111,99,1460,265,399,2068,1940,1770,14727,11757,8946
"ZT3D7_G174",1,14,5,10,8,5,6,188,68,720,772,1005,6,14,25,75,25,23,58,30,38,881,807,790
"ZT3D7_G175",0,0,0,0,1,1,1,11,3,2,14,9,0,0,0,0,0,0,0,0,0,0,0,1
"ZT3D7_G176",0,2,2,1,1,3,43,191,70,265,353,297,2,3,0,34,9,14,60,67,81,421,316,492
"ZT3D7_G177",71,134,44,102,217,154,380,5237,3314,13820,12997,16420,70,95,140,1121,216,441,2055,2018,1678,9434,7297,5478
"ZT3D7_G178",1,7,1,1,3,3,0,78,43,198,224,358,0,2,0,31,2,7,7,12,21,347,235,292
"ZT3D7_G179",7,0,1,2,10,11,22,164,49,93,100,164,4,2,3,41,5,4,55,59,37,97,59,96
"ZT3D7_G180",0,0,0,0,0,0,0,0,3,0,12,1,0,0,0,0,0,0,2,2,0,0,8,13
"ZT3D7_G181",0,0,0,1,2,0,13,3,0,12,15,4,0,4,0,15,6,14,7,30,24,25,23,44
"ZT3D7_G182",0,0,0,0,0,0,0,1,0,0,0,0,2,4,0,23,2,6,46,37,23,25,18,51
"ZT3D7_G183",1,1,0,0,0,0,0,10,2,3,6,3,0,1,0,0,0,0,0,0,3,4,1,3
"ZT3D7_G184",8,16,6,9,27,16,74,605,250,745,797,910,11,10,14,113,39,56,232,218,188,789,618,789
"ZT3D7_G185",13,22,10,30,23,17,59,660,390,2281,2234,2528,23,28,12,230,33,56,310,220,149,2564,1655,2303
"ZT3D7_G186",0,2,2,0,1,0,1,42,10,45,55,53,2,2,0,3,1,1,9,6,3,45,44,48
"ZT3D7_G187",12,8,7,20,22,19,33,145,85,560,534,819,30,15,9,184,88,137,120,218,189,777,621,592
"ZT3D7_G188",0,1,3,0,3,0,12,34,36,74,86,103,1,7,0,13,10,1,14,9,17,145,142,179
"ZT3D7_G189",8,1,3,9,35,18,34,246,97,260,394,335,16,7,2,132,82,106,169,148,209,447,263,323
"ZT3D7_G190",0,2,0,1,1,2,2,18,6,30,36,56,0,0,0,2,0,1,4,3,0,32,32,44
"ZT3D7_G191",0,7,2,3,17,1,54,265,56,587,668,707,3,4,8,108,20,19,121,102,177,499,467,490
"ZT3D7_G192",1,23,5,7,13,6,17,112,45,1586,1071,2114,23,11,13,151,13,16,39,20,60,2316,1358,1070
"ZT3D7_G193",6,33,12,10,14,3,46,349,115,1575,1528,2235,12,37,24,254,22,42,136,125,188,3351,1949,2481
"ZT3D7_G194",0,7,0,4,33,1,193,1117,630,1161,960,2031,21,10,55,342,34,80,800,565,1564,1431,1999,2105
"ZT3D7_G195",3,1,0,2,2,0,9,86,19,291,295,489,1,0,0,26,1,6,27,27,10,394,324,322
"ZT3D7_G196",1,1,2,1,6,2,14,172,51,953,1075,1316,0,2,1,162,4,7,62,53,27,2659,1198,1236
"ZT3D7_G197",0,0,0,0,5,2,2,59,12,126,141,94,0,1,0,29,3,4,25,5,23,358,122,170
"ZT3D7_G198",1,2,0,0,8,1,22,334,15,387,582,598,1,0,8,84,3,19,13,52,372,532,423,909
"ZT3D7_G199",5,14,3,4,23,8,50,344,209,744,551,914,8,13,10,84,8,23,118,96,113,837,567,537
"ZT3D7_G200",5,0,7,28,60,73,127,322,212,249,467,385,20,16,3,316,115,147,478,535,545,277,254,330
"ZT3D7_G201",15,59,21,25,28,23,66,402,142,824,1273,1428,63,85,79,249,51,95,121,187,277,2673,1754,2246
"ZT3D7_G202",0,3,0,3,1,0,2,8,2,32,46,51,0,0,0,5,0,3,5,4,4,46,31,53
"ZT3D7_G203",2,10,0,2,10,3,33,137,37,293,261,420,6,8,2,52,15,27,58,61,46,327,192,404
"ZT3D7_G204",19,83,46,27,44,17,71,353,144,1999,1762,1944,85,61,59,454,71,92,110,119,140,6910,2530,2596
"ZT3D7_G205",4,5,0,2,4,2,2,99,43,207,196,257,6,14,6,49,20,16,49,47,53,304,171,341
"ZT3D7_G206",0,0,0,0,0,0,0,0,4,6,7,15,0,0,0,0,0,0,0,0,0,13,9,9
"ZT3D7_G207",0,0,0,0,1,0,4,71,8,58,55,56,0,1,3,3,1,7,5,5,8,55,51,138
"ZT3D7_G208",6,10,3,10,6,3,18,291,89,442,440,572,7,6,8,47,7,9,66,49,74,506,396,725
"ZT3D7_G209",6,39,11,11,28,12,45,246,91,906,1162,1235,22,41,26,159,51,67,110,143,156,1548,880,1212
"ZT3D7_G210",44,135,57,96,172,124,563,6016,3519,19154,11373,24382,94,125,91,1736,262,480,2672,2338,2157,17425,9937,8056
"ZT3D7_G211",102,563,172,164,215,123,268,1090,308,13370,24018,20661,231,304,316,2660,255,329,165,160,202,43688,25699,31266
"ZT3D7_G212",0,1,4,0,0,1,0,47,0,434,772,568,1,3,2,50,0,2,3,5,0,711,676,1135
"ZT3D7_G213",0,0,0,1,3,1,3,72,9,30,31,35,0,0,0,11,0,6,28,20,15,55,16,27
"ZT3D7_G214",0,1,1,4,1,0,0,11,0,51,69,50,0,1,5,17,2,3,9,1,14,286,180,146
"ZT3D7_G215",2,1,4,3,7,1,7,146,56,205,239,247,2,3,0,44,13,5,53,34,40,447,299,369
"ZT3D7_G216",2,0,0,2,2,0,2,39,30,43,48,30,6,1,1,4,2,7,7,8,2,28,16,43
"ZT3D7_G217",1,0,0,0,0,0,0,5,6,11,6,5,0,0,0,1,0,0,1,0,1,7,0,6
"ZT3D7_G218",3,0,0,0,0,0,1,8,2,15,58,16,0,0,3,2,0,0,2,0,2,14,17,37
"ZT3D7_G219",0,2,1,0,2,3,0,32,29,46,36,64,0,1,0,3,2,4,5,15,23,41,38,51
"ZT3D7_G220",5,11,4,5,9,8,14,117,77,484,404,651,1,5,5,39,8,7,33,49,48,465,376,366
"ZT3D7_G221",1,2,0,0,2,1,11,45,13,87,74,104,2,1,0,5,2,2,9,11,12,78,67,81
"ZT3D7_G222",0,0,1,3,3,2,9,87,16,457,689,521,0,1,0,33,3,2,14,27,46,444,630,902
"ZT3D7_G223",0,4,4,3,10,7,22,232,173,543,648,786,8,5,7,82,12,17,73,67,51,906,836,781
"ZT3D7_G224",3,5,4,5,10,10,32,252,97,333,421,541,2,5,10,77,18,31,79,62,63,596,397,631
"ZT3D7_G225",0,0,0,0,0,0,0,2,7,10,3,28,0,0,0,2,0,0,0,2,0,17,12,9
"ZT3D7_G226",0,0,0,0,0,0,0,0,0,24,9,22,0,0,0,1,0,0,0,0,0,17,8,21
