"","1A5-1-7d_R1","1A5-7-7d_R1","1A5-10-7d_R1","1A5-3-12d_R1","1A5-5-12d_R1","1A5-7-12d_R1","1A5-8-14d_R1","1A5-9-14d_R1","1A5-10-14d_R1","1A5-3-28d_R1","1A5-6-28d_R1","1A5-7-28d_R1","1E4-4-7d_R1","1E4-5-7d_R1","1E4-6-7d_R1","1E4-3-12d_R1","1E4-6-12d_R1","1E4-7-12d_R1","1E4-5-14d_R1","1E4-8-14d_R1","1E4-10-14d_R1","1E4-3-28d_R1","1E4-4-28d_R1","1E4-6-28d_R1"
"ZT3D7_G7777",14,18,12,15,26,17,75,657,274,3188,3136,4363,18,32,14,338,43,31,295,199,264,4014,2606,2851
"ZT3D7_G7778",1,6,0,2,3,6,11,164,155,265,333,337,1,5,2,51,17,25,83,69,53,464,419,411
"ZT3D7_G7779",0,1,0,0,5,5,9,66,16,282,339,458,6,0,5,40,4,9,35,26,12,417,484,528
"ZT3D7_G7780",3,5,4,14,14,4,38,228,89,425,389,457,4,10,17,56,22,18,55,80,131,381,355,468
"ZT3D7_G7781",4,2,6,21,15,8,44,194,67,346,301,450,13,23,59,45,8,15,38,51,90,384,358,369
"ZT3D7_G7782",72,45,59,334,81,128,278,873,303,510,509,514,152,205,115,331,129,128,182,566,1071,529,322,575
"ZT3D7_G7783",21,23,16,62,32,35,79,294,93,1098,1086,1598,45,77,41,216,34,31,31,169,340,2057,1375,1358
"ZT3D7_G7784",14,15,6,33,24,38,50,558,206,4165,4035,6015,30,29,17,466,59,95,218,168,160,5818,3770,4061
"ZT3D7_G7785",9,86,13,17,36,18,68,895,278,6481,6791,9861,15,17,18,556,25,47,243,242,273,7755,7436,9218
"ZT3D7_G7786",9,25,9,15,54,17,99,639,239,1292,1652,1877,19,16,47,199,39,71,225,126,358,2057,2045,2677
"ZT3D7_G7787",0,42,9,17,12,15,48,275,102,972,1177,1305,9,24,17,125,24,33,75,112,165,1541,1130,1370
"ZT3D7_G7788",43,49,56,135,100,108,262,1494,545,3733,3442,4932,92,181,74,661,111,154,442,706,1132,5063,3924,3576
"ZT3D7_G7789",0,17,5,9,27,11,74,977,493,1409,1297,1719,19,10,15,149,22,47,334,242,340,1232,873,801
"ZT3D7_G7790",4,9,1,6,14,2,39,178,101,462,495,756,3,8,8,65,12,21,111,84,105,727,489,549
"ZT3D7_G7791",66,37,58,315,66,132,235,580,178,348,340,470,136,190,118,331,105,87,56,432,941,1830,801,1218
"ZT3D7_G7792",0,3,3,4,16,3,13,49,38,22,30,25,1,9,0,46,20,19,61,87,77,28,31,40
"ZT3D7_G7793",0,2,2,2,4,4,15,101,11,532,518,935,7,7,7,77,12,10,24,41,48,860,667,581
"ZT3D7_G7794",0,4,0,10,8,10,22,202,89,347,301,514,5,3,0,67,7,17,70,54,49,602,321,403
"ZT3D7_G7795",0,2,0,0,0,1,4,32,5,156,194,165,0,0,2,57,1,0,12,9,12,693,206,632
