"","3D7_vitro_MM_rep3","3D1_vitro_YSB_rep3","3D1_vitro_MM_rep2","3D7_vitro_YSB_rep1","3D7_vitro_YSB_rep3","3D7_vitro_YSB_rep2","3D7_vitro_MM_rep1","3D7_vitro_MM_rep2","3D1_vitro_MM_rep1","3D1_vitro_MM_rep3","3D1_vitro_YSB_rep1","3D1_vitro_YSB_rep2"
"ZT3D7_G4061",146,136,475,286,255,219,77,139,463,525,202,117
"ZT3D7_G4062",259,854,302,1649,1720,1337,122,190,393,227,1068,693
"ZT3D7_G4063",175,320,204,452,619,418,134,87,270,194,470,337
"ZT3D7_G4064",122,72,115,152,125,125,121,111,102,99,137,44
"ZT3D7_G4065",641,303,668,712,732,758,885,754,558,516,555,288
"ZT3D7_G4066",2175,2294,987,2541,3199,3184,2407,2221,1016,827,4152,2311
"ZT3D7_G4067",491,1736,939,1047,1173,912,494,510,1019,913,2277,1543
"ZT3D7_G4068",234,158,602,105,139,139,276,328,530,425,203,127
"ZT3D7_G4069",426,202,872,298,371,343,668,616,789,806,373,201
"ZT3D7_G4070",244,302,53,270,302,314,305,262,40,48,607,285
"ZT3D7_G4071",1571,1373,2303,2182,3271,2266,1755,1673,2633,1978,1916,1198
"ZT3D7_G4072",648,276,591,350,519,453,613,551,714,539,568,340
"ZT3D7_G4073",117,24,233,57,47,49,134,133,223,145,34,22
"ZT3D7_G4074",137,177,207,96,134,108,159,132,195,167,303,196
"ZT3D7_G4075",2168,676,1387,2032,2366,2210,2311,2298,1307,1104,977,599
"ZT3D7_G4076",788,2952,3974,2033,1914,1593,627,647,4574,4479,4386,2610
"ZT3D7_G4077",0,274,559,0,0,0,0,0,547,535,458,317
"ZT3D7_G4078",146,85,546,173,164,118,128,119,834,555,97,57
"ZT3D7_G4079",257,101,579,155,147,123,186,165,793,529,111,61
"ZT3D7_G4080",22,9,31,1,5,8,22,6,48,28,6,3
"ZT3D7_G4081",1,0,3,2,1,0,5,2,7,3,0,1
"ZT3D7_G4082",598,1134,1134,1159,1161,1083,623,615,1062,883,1944,957
"ZT3D7_G4083",74,95,261,63,82,79,122,103,260,208,101,85
"ZT3D7_G4084",444,335,417,363,441,367,395,444,422,402,575,319
"ZT3D7_G4085",118,57,55,48,84,75,100,130,84,57,64,52
"ZT3D7_G4086",26,7,40,6,5,16,24,26,25,17,13,8
"ZT3D7_G4087",0,2,10,0,5,3,0,2,10,7,2,2
"ZT3D7_G4088",3,23,12,8,11,5,0,2,25,10,32,16
"ZT3D7_G4089",361,506,430,373,405,401,377,314,489,395,879,431
"ZT3D7_G4090",1768,1579,1370,1980,1312,1253,1393,1916,1193,1052,1899,1034
"ZT3D7_G4091",24,7,27,20,25,22,12,19,27,27,14,6
"ZT3D7_G4092",351,1011,450,1991,1947,1582,426,490,554,341,1632,1015
"ZT3D7_G4093",159,60,180,163,178,176,206,99,160,169,111,60
"ZT3D7_G4094",1350,1411,2223,2444,2775,2731,1613,1316,2788,1921,2525,1273
"ZT3D7_G4095",590,838,1240,870,790,660,650,626,1426,1015,1192,745
"ZT3D7_G4096",487,739,566,1096,1066,1020,498,464,594,534,1290,628
"ZT3D7_G4097",267,373,346,425,475,528,275,349,392,279,581,297
"ZT3D7_G4098",108,118,319,209,258,226,134,123,359,277,207,109
"ZT3D7_G4099",1425,266,1977,284,347,327,1250,1294,2400,1584,390,237
"ZT3D7_G4100",49,61,343,226,242,172,69,54,435,259,107,53
"ZT3D7_G4101",55,37,145,52,74,51,75,43,192,175,48,40
"ZT3D7_G4102",627,803,1269,1004,978,957,498,483,1456,1285,1087,613
"ZT3D7_G4103",463,1243,950,964,843,752,429,459,1014,1016,1497,856
"ZT3D7_G4104",48,20,76,22,28,36,114,76,68,69,41,35
"ZT3D7_G4105",671,344,1040,304,395,313,787,773,1034,1067,456,302
"ZT3D7_G4106",762,957,976,987,1212,1048,1119,795,1149,1024,1609,871
"ZT3D7_G4107",628,116,566,559,502,386,439,597,751,572,159,116
"ZT3D7_G4108",945,1883,1291,2756,3438,3596,1329,1099,1341,1184,3666,1866
"ZT3D7_G4109",207,322,468,424,424,420,193,192,435,412,535,255
"ZT3D7_G4110",84,13,56,6,10,6,61,49,56,41,12,6
"ZT3D7_G4111",684,611,813,1139,1285,1032,689,635,893,788,1141,617
"ZT3D7_G4112",3107,18496,17629,12343,13821,11953,4499,3269,20509,16760,25381,18464
"ZT3D7_G4113",126,215,557,394,420,456,130,77,624,538,408,170
"ZT3D7_G4114",185,36,285,96,88,67,212,156,331,246,75,40
"ZT3D7_G4115",4953,4162,2801,6733,6238,5304,6564,5473,3119,2023,6416,3412
"ZT3D7_G4116",656,806,959,719,968,952,795,714,1016,903,1471,762
"ZT3D7_G4117",459,162,169,183,204,215,291,406,189,161,256,152
"ZT3D7_G4118",64,23,55,47,55,39,48,50,43,38,49,24
"ZT3D7_G4119",349,317,362,326,405,367,439,383,451,335,525,230
"ZT3D7_G4120",23,4,23,3,8,10,12,21,27,26,0,1
"ZT3D7_G4121",20,11,55,27,23,29,8,24,75,60,18,9
"ZT3D7_G4122",877,899,708,1068,1660,1708,1269,1162,713,544,1539,931
"ZT3D7_G4123",5,3,18,4,17,8,0,5,33,31,8,6
"ZT3D7_G4124",37,25,374,39,94,75,29,34,498,345,45,23
"ZT3D7_G4125",376,889,341,1961,2435,2310,527,424,398,322,1537,902
"ZT3D7_G4126",457,603,593,718,866,595,591,623,662,497,907,608
"ZT3D7_G4127",386,376,1050,578,637,581,421,491,932,794,652,344
"ZT3D7_G4128",238,548,292,776,775,690,242,249,340,289,1005,587
"ZT3D7_G4129",257,94,382,134,167,185,348,236,536,430,158,96
"ZT3D7_G4130",52,53,134,108,92,75,60,71,118,102,98,41
"ZT3D7_G4131",6,7,60,8,12,8,23,25,70,38,9,9
"ZT3D7_G4132",489,936,472,1326,1469,1322,566,450,498,421,1594,805
"ZT3D7_G4133",5,0,7,5,7,5,1,8,2,4,3,4
"ZT3D7_G4134",199,70,138,115,111,97,168,153,153,157,126,82
"ZT3D7_G4135",523,456,767,781,874,853,736,462,1043,729,746,432
"ZT3D7_G4136",353,170,264,295,286,261,355,336,187,201,286,158
"ZT3D7_G4137",122,78,124,1529,1600,1228,162,141,87,97,146,104
"ZT3D7_G4138",98,95,176,277,346,255,109,123,123,124,164,113
"ZT3D7_G4139",130,155,317,144,139,133,110,84,261,292,240,133
"ZT3D7_G4140",179,521,438,755,789,700,182,163,433,433,858,523
"ZT3D7_G4141",191,312,265,346,454,419,326,184,232,236,574,371
"ZT3D7_G4142",908,231,678,324,314,325,924,1019,794,579,308,196
"ZT3D7_G4143",1930,1266,3060,1427,1396,1225,1489,2175,3001,2536,1740,1106
"ZT3D7_G4144",93,42,72,81,79,62,67,76,70,58,57,34
"ZT3D7_G4145",511,649,630,933,1198,1152,472,562,651,479,957,641
"ZT3D7_G4146",2433,7376,3591,7500,7831,7679,2484,2891,3835,3196,13099,6803
"ZT3D7_G4147",238,246,594,101,102,88,355,297,749,536,264,193
"ZT3D7_G4148",187,279,273,453,385,428,192,236,219,207,356,248
"ZT3D7_G4149",1350,1197,1425,1462,1652,1513,1159,1195,1249,1322,1963,989
"ZT3D7_G4150",94,93,73,133,112,156,45,62,70,76,174,70
"ZT3D7_G4151",2233,2048,1553,3005,4139,3577,1631,2290,1143,1119,3287,2109
"ZT3D7_G4152",820,1160,1116,1810,2308,2421,906,726,1198,956,2127,1205
"ZT3D7_G4153",16,7,85,30,11,20,57,41,86,82,9,6
"ZT3D7_G4154",596,556,571,1188,1197,1208,564,909,568,451,676,473
"ZT3D7_G4155",3576,2211,4449,3444,2778,2172,3245,4155,4882,3944,2758,1479
"ZT3D7_G4156",145,29,61,224,278,239,133,107,95,63,48,33
"ZT3D7_G4157",30,18,39,28,42,35,51,26,45,34,14,13
"ZT3D7_G4158",41,76,186,48,39,58,40,52,169,135,102,61
"ZT3D7_G4159",1014,818,1318,2142,1954,1950,813,830,1300,1259,1182,631
"ZT3D7_G4160",1712,4204,2604,5116,4851,4823,1678,2068,2700,2182,6897,3716
"ZT3D7_G4161",356,108,1494,49,56,55,274,306,1816,1366,195,148
"ZT3D7_G4162",750,900,977,1042,1687,1310,665,712,1220,883,1610,969
"ZT3D7_G4163",1271,1507,1880,1843,1826,1649,1237,1709,1848,1481,1902,991
"ZT3D7_G4164",215,77,480,103,139,123,201,210,507,513,107,77
"ZT3D7_G4165",389,1064,522,1186,1318,1065,465,445,575,458,1835,962
"ZT3D7_G4166",115,95,17,106,131,117,122,140,26,22,192,106
"ZT3D7_G4167",781,680,742,1098,996,813,810,863,730,607,1048,524
"ZT3D7_G4168",2327,2702,1509,3964,4118,4053,2537,2412,1907,1353,4589,2283
"ZT3D7_G4169",1,11,13,15,17,16,10,16,16,11,18,13
"ZT3D7_G4170",140,653,186,773,1174,861,135,151,266,184,1026,801
"ZT3D7_G4171",1248,121,306,106,90,130,1246,1764,404,264,161,103
"ZT3D7_G4172",428,206,336,391,429,353,310,362,353,334,319,178
"ZT3D7_G4173",33,28,60,46,30,18,26,30,70,64,48,34
"ZT3D7_G4174",157,920,302,432,577,498,119,109,422,324,1497,1004
"ZT3D7_G4175",344,464,802,410,452,392,453,516,854,729,766,457
