"","3D7_vitro_MM_rep3","3D1_vitro_YSB_rep3","3D1_vitro_MM_rep2","3D7_vitro_YSB_rep1","3D7_vitro_YSB_rep3","3D7_vitro_YSB_rep2","3D7_vitro_MM_rep1","3D7_vitro_MM_rep2","3D1_vitro_MM_rep1","3D1_vitro_MM_rep3","3D1_vitro_YSB_rep1","3D1_vitro_YSB_rep2"
"ZT3D7_G1",52,4,20,18,17,11,39,28,27,14,13,7
"ZT3D7_G2",269,365,251,701,702,641,243,265,282,192,645,325
"ZT3D7_G3",28,7,32,13,7,16,38,18,39,17,13,5
"ZT3D7_G4",100,96,188,203,136,115,138,91,248,226,175,84
"ZT3D7_G5",13,14,27,32,31,23,23,28,49,31,37,15
"ZT3D7_G6",469,435,681,473,502,424,616,566,623,473,658,335
"ZT3D7_G7",279,139,249,135,218,207,313,332,329,191,213,133
"ZT3D7_G8",66,31,25,17,31,19,43,68,22,17,34,31
"ZT3D7_G9",305,158,477,170,242,227,410,412,416,344,261,158
"ZT3D7_G10",533,672,646,745,710,620,662,699,692,644,1003,573
"ZT3D7_G11",772,1542,1270,1233,1272,1217,620,964,1219,1015,2006,1141
"ZT3D7_G12",51,19,39,9,9,8,44,43,35,24,17,10
"ZT3D7_G13",480,445,505,527,522,541,477,494,489,361,741,444
"ZT3D7_G14",179,150,126,264,219,207,162,165,188,149,248,148
"ZT3D7_G15",367,278,416,324,284,318,355,405,381,387,424,251
"ZT3D7_G16",61,55,27,146,193,145,59,47,28,26,79,54
"ZT3D7_G17",202,16885,95,656,1041,830,170,216,165,120,28126,19135
"ZT3D7_G18",94,556,133,529,500,517,48,100,187,161,596,430
"ZT3D7_G19",257,193,526,492,387,390,244,289,557,515,359,159
"ZT3D7_G20",1133,729,905,737,985,816,1395,1211,1398,1088,1061,706
"ZT3D7_G21",295,444,568,534,599,599,403,298,1072,597,648,462
"ZT3D7_G22",527,691,1422,478,681,564,654,668,1280,1216,1185,629
"ZT3D7_G23",75,1725,612,1355,1493,1289,116,181,768,603,2519,1745
"ZT3D7_G24",24,12,39,23,26,17,17,10,39,41,26,17
"ZT3D7_G25",41,28,54,28,48,35,37,27,51,59,45,22
"ZT3D7_G26",510,1184,1400,1546,1952,1558,463,522,1764,1230,1576,1008
"ZT3D7_G27",274,517,463,536,522,500,261,347,439,367,719,403
"ZT3D7_G28",27,27,67,21,19,21,18,29,60,59,27,22
"ZT3D7_G29",12,1,10,3,9,5,17,9,18,7,7,4
"ZT3D7_G30",31,17,36,23,23,31,39,39,43,37,12,18
"ZT3D7_G31",337,297,550,401,420,405,294,331,501,442,406,234
"ZT3D7_G32",0,0,0,0,0,0,0,0,0,1,0,0
"ZT3D7_G33",536,480,649,739,641,645,552,707,625,495,664,347
"ZT3D7_G34",203,92,252,204,198,140,194,207,287,268,168,85
"ZT3D7_G35",733,1636,1897,2505,2161,2046,746,824,1855,1804,2188,1165
"ZT3D7_G36",126,35,248,38,46,74,101,94,214,235,53,28
"ZT3D7_G37",150,154,316,212,219,215,141,101,345,260,339,167
"ZT3D7_G38",102,178,112,276,208,192,102,87,114,119,309,127
"ZT3D7_G39",43,84,90,59,64,39,40,56,84,80,92,60
"ZT3D7_G40",93,102,212,121,147,166,115,122,248,188,196,115
"ZT3D7_G41",317,35,30,34,42,30,352,241,28,22,46,17
"ZT3D7_G42",0,0,0,0,0,0,0,0,2,1,1,0
"ZT3D7_G43",33,0,2,0,0,1,38,29,3,3,1,0
"ZT3D7_G44",0,0,0,0,1,0,1,0,0,1,0,0
"ZT3D7_G45",0,1,1,0,0,0,0,0,0,0,1,2
"ZT3D7_G46",18,0,0,21,19,9,11,21,0,0,0,0
"ZT3D7_G47",247,2753,6199,6600,5367,4633,157,212,4631,5237,4760,3162
"ZT3D7_G48",0,1,6,0,0,0,4,0,6,4,0,2
"ZT3D7_G49",9,0,5,2,4,4,9,5,10,5,3,0
"ZT3D7_G50",32,37,70,39,39,34,33,27,93,110,39,30
"ZT3D7_G51",25,10,31,29,30,19,9,6,73,43,24,7
"ZT3D7_G52",523,214,1533,332,377,345,549,442,2546,1579,334,185
"ZT3D7_G53",222,272,401,394,500,557,410,188,681,477,432,259
"ZT3D7_G54",34,3,24,13,19,18,32,32,29,26,13,3
"ZT3D7_G55",68,22,119,24,25,21,64,70,127,95,19,18
"ZT3D7_G56",209,306,695,635,527,475,131,136,693,728,382,204
"ZT3D7_G57",75,92,293,100,90,83,53,84,312,254,125,76
"ZT3D7_G58",24,52,82,180,123,119,28,70,83,58,92,64
"ZT3D7_G59",105,64,125,288,293,308,81,77,158,117,94,71
"ZT3D7_G60",259,449,935,816,808,617,199,187,1078,837,581,364
"ZT3D7_G61",76,43,92,87,104,89,68,96,111,110,69,41
"ZT3D7_G62",55,23,119,29,43,24,47,59,125,119,42,28
"ZT3D7_G63",1808,1057,1482,2734,2186,1606,1709,2180,1713,1401,1485,864
"ZT3D7_G64",587,529,608,572,596,529,501,748,722,469,704,440
"ZT3D7_G65",1,2,14,1,3,0,6,2,11,11,2,1
"ZT3D7_G66",0,0,1,0,1,0,0,1,0,0,0,0
"ZT3D7_G67",1,0,0,0,2,1,1,0,0,0,0,0
"ZT3D7_G68",1,0,3,1,0,0,0,1,0,0,0,0
"ZT3D7_G69",22,1,6,24,75,55,46,22,5,5,1,1
"ZT3D7_G70",1,9,10,3,9,4,4,1,6,8,13,7
"ZT3D7_G71",1454,63,775,115,105,126,2031,1412,768,627,112,51
"ZT3D7_G72",59,28,451,61,45,41,35,56,561,347,39,16
"ZT3D7_G73",132,56,295,62,53,45,119,219,217,203,89,38
"ZT3D7_G74",1223,2146,2612,1995,1949,1548,1304,1372,2977,2419,2765,1525
"ZT3D7_G75",59,9,49,11,4,10,52,57,56,38,9,5
"ZT3D7_G76",1403,451,1900,671,610,586,1565,1408,1672,1592,655,379
"ZT3D7_G77",51,17,60,25,25,22,69,92,43,60,12,12
"ZT3D7_G78",42,15,783,27,40,40,30,18,1021,744,21,21
"ZT3D7_G79",116,56,286,38,56,48,130,122,243,247,63,49
"ZT3D7_G80",22,9,50,29,54,43,20,18,70,36,15,11
"ZT3D7_G81",156,171,125,286,272,266,153,155,88,106,283,135
"ZT3D7_G82",92,62,83,106,106,93,97,78,128,97,87,56
"ZT3D7_G83",1443,6071,1743,4345,5131,4620,1504,1604,2087,1602,7749,5429
"ZT3D7_G84",8,18,25,26,27,18,5,5,28,24,24,12
"ZT3D7_G85",38,340,658,105,149,154,37,45,622,579,490,406
"ZT3D7_G86",0,18,25,0,0,0,0,0,15,26,20,12
"ZT3D7_G87",47,15,42,80,50,66,22,50,47,42,20,18
"ZT3D7_G88",28,14,30,26,31,32,19,15,26,27,25,11
"ZT3D7_G89",3662,899,3049,1623,1643,1533,2346,4019,2047,1989,1173,843
"ZT3D7_G90",14,6,5,5,3,3,12,6,5,6,4,5
"ZT3D7_G91",185,20,61,45,32,20,217,310,51,57,46,18
"ZT3D7_G92",52,81,346,17,23,13,85,80,464,363,125,80
"ZT3D7_G93",67,159,126,92,106,91,58,78,138,118,228,145
"ZT3D7_G94",257,137,374,218,200,201,205,306,355,337,172,92
"ZT3D7_G95",204,230,747,222,221,215,247,234,691,661,386,186
"ZT3D7_G96",2422,1002,2319,1860,1697,1694,2266,2446,2000,1916,1538,850
"ZT3D7_G97",53,1,18,5,3,2,32,26,11,12,3,0
"ZT3D7_G98",2,2,7,3,3,5,5,14,15,13,6,3
"ZT3D7_G99",15,10,22,15,9,5,9,14,41,27,20,14
"ZT3D7_G100",153,510,116,688,616,581,81,95,161,130,904,402
"ZT3D7_G101",201,281,130,610,613,606,182,175,172,156,406,222
"ZT3D7_G102",136,332,299,222,395,330,122,115,369,279,578,376
"ZT3D7_G103",316,232,633,249,264,248,303,345,654,462,349,195
"ZT3D7_G104",73,161,134,90,82,84,70,54,141,125,201,123
"ZT3D7_G105",36,50,163,31,41,39,34,33,145,118,78,50
"ZT3D7_G106",340,313,380,427,293,329,253,317,544,403,532,292
"ZT3D7_G107",39,938,631,173,183,198,63,68,813,503,1723,1051
"ZT3D7_G108",181,399,169,608,430,465,131,177,125,172,630,290
"ZT3D7_G109",10,160,285,34,35,32,10,12,310,217,226,148
"ZT3D7_G110",685,1370,854,1568,1420,1403,781,792,904,748,2185,1069
"ZT3D7_G111",5051,8823,3426,8301,9879,8742,4974,5051,4287,3292,12037,8094
"ZT3D7_G112",5672,4781,3723,3562,4992,3761,6073,6021,4046,3250,7993,4085
"ZT3D7_G113",361,30,193,6,3,7,296,215,191,136,53,55
"ZT3D7_G114",255,458,601,479,396,377,226,263,831,510,637,319
"ZT3D7_G115",1397,1210,679,2562,2478,2157,1207,1464,673,642,1676,975
"ZT3D7_G116",44,11,287,19,31,37,29,34,229,212,17,13
"ZT3D7_G117",29,31,129,41,33,29,33,39,138,103,56,45
"ZT3D7_G118",34,85,393,6,4,3,26,14,439,376,139,54
"ZT3D7_G119",83,78,107,86,113,81,79,83,126,101,103,66
"ZT3D7_G120",2439,3480,1402,2852,2638,2259,2855,3632,1588,1345,5169,2682
"ZT3D7_G121",1898,2110,1006,3328,2420,2183,2058,2551,1066,767,2970,1599
"ZT3D7_G122",174,361,157,333,297,339,138,177,151,132,546,255
"ZT3D7_G123",459,191,359,248,219,210,429,326,421,278,295,146
"ZT3D7_G124",103,72,250,227,223,248,114,85,356,244,141,87
"ZT3D7_G125",1834,2646,1244,3862,4363,4013,1663,2244,1212,926,4130,2530
"ZT3D7_G126",57,19,84,16,43,40,66,75,129,80,34,21
"ZT3D7_G127",117,45,182,89,102,97,158,86,249,226,101,47
"ZT3D7_G128",488,957,560,1218,1045,936,379,519,600,401,1195,681
"ZT3D7_G129",437,238,854,710,642,535,471,492,1154,807,338,212
"ZT3D7_G130",141,177,269,335,306,281,163,150,292,261,302,136
"ZT3D7_G131",60,12,48,41,25,27,57,58,59,58,10,12
"ZT3D7_G132",2065,10,21,86,59,75,1635,2407,22,30,12,4
"ZT3D7_G133",634,465,1473,679,601,593,654,703,1123,1246,793,357
"ZT3D7_G134",32,14,92,6,12,5,29,30,77,55,16,11
"ZT3D7_G135",68,11,53,20,27,23,40,39,65,55,11,19
"ZT3D7_G136",1141,601,871,783,801,654,1044,1351,887,720,762,491
"ZT3D7_G137",775,665,1033,1107,1029,969,682,638,928,823,930,559
"ZT3D7_G138",1547,4608,4622,5091,3967,3371,1422,1675,5331,4103,5423,2988
"ZT3D7_G139",0,1,13,0,0,0,0,0,23,14,0,2
"ZT3D7_G140",0,7,74,0,0,0,1,0,95,104,3,1
"ZT3D7_G141",4,1,14,0,3,3,3,0,18,14,0,4
"ZT3D7_G142",6,4,15,1,2,0,1,5,5,7,3,0
"ZT3D7_G143",567,1238,822,1430,1642,1381,600,608,789,725,2064,1147
"ZT3D7_G144",893,1190,160,4051,3954,4104,734,1074,126,100,1942,765
"ZT3D7_G145",928,397,1519,863,926,866,1042,789,2800,1145,625,333
"ZT3D7_G146",4470,3049,1107,3666,4198,4050,3552,4940,1055,672,3426,2106
"ZT3D7_G147",396,1279,1170,2022,2066,1895,415,371,1304,1177,2491,1139
"ZT3D7_G148",735,1035,1327,1163,1273,1206,941,673,1440,1106,1484,814
"ZT3D7_G149",439,1298,780,1201,1168,1037,321,533,637,511,1526,906
"ZT3D7_G150",225,113,421,113,127,142,194,181,309,345,176,76
"ZT3D7_G151",474,624,45,921,942,848,468,450,51,49,1092,503
"ZT3D7_G152",1221,1282,2117,1303,1276,1217,1420,1384,1774,1865,1872,914
"ZT3D7_G153",727,17,118,24,51,38,766,682,118,125,21,17
"ZT3D7_G154",205,19,147,15,21,8,187,177,159,133,26,19
"ZT3D7_G155",176,92,394,82,108,106,174,218,379,373,153,81
"ZT3D7_G156",164,46,225,247,255,178,109,110,244,206,100,66
"ZT3D7_G157",1846,3912,2631,6971,6931,5835,1706,2140,2825,2092,5135,3631
"ZT3D7_G158",48,19,17,76,56,58,31,61,17,20,27,16
"ZT3D7_G159",0,1,2,1,1,1,0,0,1,1,0,0
"ZT3D7_G160",252,183,342,263,194,169,185,300,322,299,276,122
"ZT3D7_G161",584,31,176,54,73,41,488,516,209,127,26,25
"ZT3D7_G162",972,151,1274,85,104,130,714,925,1890,1280,216,106
"ZT3D7_G163",28,46,203,7,2,7,29,25,258,181,46,26
"ZT3D7_G164",599,540,832,1897,2147,1907,583,540,870,1011,972,612
"ZT3D7_G165",1015,382,1272,846,701,603,947,877,1510,1192,583,330
"ZT3D7_G166",1035,605,1464,742,994,840,1267,1017,1595,1263,974,459
"ZT3D7_G167",353,550,528,668,839,668,383,361,504,451,755,464
"ZT3D7_G168",5,5,11,8,5,9,8,12,15,6,5,5
"ZT3D7_G169",3997,239,2931,1459,1213,974,4090,3501,4490,2926,311,152
"ZT3D7_G170",1269,153,710,275,310,279,1274,932,910,742,250,114
"ZT3D7_G171",283,432,490,427,518,483,314,318,557,477,743,393
"ZT3D7_G172",2069,3527,3450,4204,4596,4044,2226,2052,3582,3300,5664,3041
"ZT3D7_G173",4347,3543,2508,2257,3088,2810,4389,5048,2801,2020,5578,3364
"ZT3D7_G174",701,1136,2093,1349,1306,1129,637,546,2133,2043,1961,1132
"ZT3D7_G175",25,19,60,16,26,23,29,45,60,59,16,16
"ZT3D7_G176",365,182,441,743,710,620,357,322,470,387,289,160
"ZT3D7_G177",5636,5074,4809,3129,4029,3470,5947,5560,5080,3671,7932,3883
"ZT3D7_G178",102,297,120,334,378,330,89,113,164,144,432,274
"ZT3D7_G179",453,456,109,667,515,462,340,416,149,96,778,331
"ZT3D7_G180",6,19,56,1,5,6,0,1,53,41,32,11
"ZT3D7_G181",169,24,37,176,140,120,88,148,29,18,21,26
"ZT3D7_G182",229,24,69,202,270,266,223,184,86,81,51,37
"ZT3D7_G183",4,4,25,7,3,8,12,4,30,30,16,8
"ZT3D7_G184",1055,634,937,960,961,935,949,922,1108,832,973,442
"ZT3D7_G185",644,1693,1058,2524,2753,2567,806,781,1101,814,2697,1382
"ZT3D7_G186",78,93,183,98,99,73,68,61,211,169,181,74
"ZT3D7_G187",2023,1161,800,435,448,417,1903,2262,948,782,1690,1110
"ZT3D7_G188",569,146,215,61,69,82,669,858,261,204,190,99
"ZT3D7_G189",908,214,1713,372,377,365,927,762,2065,1594,298,164
"ZT3D7_G190",31,11,75,35,47,27,23,28,126,70,23,12
"ZT3D7_G191",663,373,1044,957,897,752,561,580,1348,876,601,335
"ZT3D7_G192",185,140,204,140,201,189,215,190,342,231,164,122
"ZT3D7_G193",523,1847,926,2263,2238,2201,558,478,1346,870,3186,1841
"ZT3D7_G194",1541,448,1558,532,744,647,1549,1394,2046,1363,674,387
"ZT3D7_G195",207,112,276,112,135,134,280,198,281,265,243,115
"ZT3D7_G196",319,28,42,41,60,35,361,374,82,45,49,28
"ZT3D7_G197",389,36,150,54,50,63,647,407,157,156,79,48
"ZT3D7_G198",97,46,248,65,97,74,102,89,277,312,73,41
"ZT3D7_G199",337,203,510,184,201,158,332,416,430,448,288,193
"ZT3D7_G200",1143,30,210,75,89,76,1192,1088,300,179,31,26
"ZT3D7_G201",2409,494,2061,760,982,1001,2412,2208,3061,1979,791,483
"ZT3D7_G202",619,188,1088,296,357,278,411,526,1288,888,292,187
"ZT3D7_G203",452,317,1005,447,439,438,407,502,1044,842,429,269
"ZT3D7_G204",964,1195,1618,1249,987,925,745,1082,1869,1389,1495,784
"ZT3D7_G205",162,578,425,537,552,415,163,189,417,323,787,448
"ZT3D7_G206",73,24,30,56,44,51,32,43,18,32,30,13
"ZT3D7_G207",149,91,159,147,171,124,129,119,166,139,142,81
"ZT3D7_G208",958,1175,1681,1114,1322,1008,770,779,1665,1636,1972,1161
"ZT3D7_G209",819,969,2603,1557,1581,1292,728,887,2097,2375,1449,881
"ZT3D7_G210",1016,2330,966,1032,825,659,590,1508,601,660,2198,1290
"ZT3D7_G211",1515,5069,7322,15712,16489,14739,1683,1917,6218,6765,8824,5021
"ZT3D7_G212",43,133,251,231,256,234,42,51,192,215,198,102
"ZT3D7_G213",76,0,44,8,3,4,52,78,38,23,3,4
"ZT3D7_G214",84,97,1282,93,121,78,104,58,1384,1433,222,114
"ZT3D7_G215",215,288,525,342,358,310,177,178,532,508,436,227
"ZT3D7_G216",49,52,98,72,77,49,29,44,117,81,70,47
"ZT3D7_G217",8,4,20,3,10,15,6,12,20,14,13,4
"ZT3D7_G218",55,40,103,86,81,80,66,45,130,90,89,41
"ZT3D7_G219",126,124,232,186,193,123,190,133,280,245,204,113
"ZT3D7_G220",159,346,330,626,619,509,209,234,294,246,541,297
"ZT3D7_G221",229,72,210,88,103,93,214,184,206,179,111,67
"ZT3D7_G222",219,344,200,450,518,477,231,218,197,157,539,294
"ZT3D7_G223",343,359,419,343,463,438,343,311,437,406,696,355
"ZT3D7_G224",806,776,1059,1259,1244,1166,764,704,1185,1247,1266,666
"ZT3D7_G225",3,6,13,21,17,12,6,5,9,9,17,8
"ZT3D7_G226",3,4,7,9,9,4,1,3,5,5,7,3
"ZT3D7_G227",1019,457,1100,1054,1237,941,995,938,1503,889,580,398
"ZT3D7_G228",596,797,1303,1063,1328,1098,666,512,1958,1487,1351,827
"ZT3D7_G229",30,18,100,32,29,35,17,31,154,117,26,24
"ZT3D7_G230",135,171,185,148,113,90,73,137,189,141,213,108
"ZT3D7_G231",41,30,27,63,71,51,32,40,37,36,35,20
"ZT3D7_G232",64,30,64,33,60,45,49,61,102,62,49,29
"ZT3D7_G233",169,106,299,167,232,183,258,223,346,303,221,94
"ZT3D7_G234",286,401,322,303,395,300,239,241,344,304,566,356
"ZT3D7_G235",119,163,330,266,368,239,137,172,332,262,229,150
"ZT3D7_G236",1031,2118,1452,4543,4690,3903,1072,1110,1783,1591,3019,1963
"ZT3D7_G237",724,438,727,798,823,801,599,618,846,656,848,421
"ZT3D7_G238",1333,2019,2210,2312,2844,2769,1735,1435,2422,2090,3662,2069
"ZT3D7_G239",7,3,11,11,3,10,4,4,5,5,1,6
"ZT3D7_G240",26,12,18,16,23,24,9,17,15,20,13,6
"ZT3D7_G241",24,20,43,25,29,23,30,24,42,31,36,19
"ZT3D7_G242",19,6,15,9,11,5,10,17,26,16,8,4
"ZT3D7_G243",559,1459,1510,819,704,675,554,618,1836,1493,1865,948
"ZT3D7_G244",1790,1948,4071,2392,1884,1844,2000,1930,4580,3729,2090,1259
"ZT3D7_G245",7227,118,520,81,101,94,6140,7664,563,340,105,72
"ZT3D7_G246",179,147,297,368,358,283,134,147,322,299,244,107
"ZT3D7_G247",17,22,343,56,71,55,22,18,375,339,19,16
"ZT3D7_G248",1264,1887,4448,2297,2387,2179,1259,1114,4642,4301,2775,1487
"ZT3D7_G249",381,317,228,700,560,563,369,409,285,188,450,270
"ZT3D7_G250",218,25,93,70,60,40,229,147,117,107,43,22
"ZT3D7_G251",53,154,109,135,136,110,59,63,125,106,212,100
"ZT3D7_G252",776,5545,3508,6618,6460,6451,806,827,3861,3309,8376,4484
"ZT3D7_G253",112,196,169,435,367,297,135,147,187,185,262,119
"ZT3D7_G254",182,152,186,313,321,310,153,161,225,188,208,138
"ZT3D7_G255",40,0,11,10,13,13,47,40,12,10,2,2
"ZT3D7_G256",2827,1862,1202,2528,1959,1933,2688,3082,1438,1251,2713,1467
"ZT3D7_G257",2349,2912,3183,2991,3087,3065,2421,2755,3002,2615,4120,2165
"ZT3D7_G258",14,17,54,13,9,14,8,13,69,37,19,8
"ZT3D7_G259",36,246,302,34,30,36,25,16,360,270,281,193
"ZT3D7_G260",1038,1337,2214,2031,1808,1691,1112,1150,2321,1722,1703,1061
"ZT3D7_G261",847,169,989,335,397,327,788,757,1159,813,298,169
"ZT3D7_G262",7485,6853,14586,8564,7643,6647,7868,8211,15632,12790,9980,5486
"ZT3D7_G263",108,162,154,253,210,180,89,124,125,123,224,138
"ZT3D7_G264",2192,238,5742,373,438,431,2962,1724,12010,4633,303,201
"ZT3D7_G265",199,140,301,442,381,295,123,120,390,404,242,122
"ZT3D7_G266",4217,675,946,280,270,257,4323,4509,1074,842,1162,748
"ZT3D7_G267",549,85,225,35,36,34,485,675,183,264,105,57
"ZT3D7_G268",746,833,1996,1189,1136,1055,685,1012,1692,1637,1124,602
"ZT3D7_G269",192,453,389,764,885,775,213,174,485,354,692,371
"ZT3D7_G270",237,640,772,795,926,773,210,220,1290,1014,938,554
"ZT3D7_G271",57,9,110,11,18,16,47,32,163,124,16,9
"ZT3D7_G272",12,53,70,26,33,17,15,15,88,41,66,40
"ZT3D7_G273",1082,824,1049,877,1051,949,1111,949,1370,1106,1276,855
"ZT3D7_G274",480,185,658,219,250,244,548,514,975,750,305,147
"ZT3D7_G275",319,29,173,26,40,30,240,337,348,241,45,28
"ZT3D7_G276",12053,307,1230,2692,2315,1712,10921,12236,996,806,459,270
"ZT3D7_G277",226,162,135,192,208,219,220,277,154,111,297,166
"ZT3D7_G278",259,479,1179,1435,1384,1159,158,146,1482,1141,823,388
"ZT3D7_G279",1694,1403,2233,1840,1762,1685,1420,1975,2161,2237,2237,1105
"ZT3D7_G280",189,255,109,145,135,113,164,210,131,115,312,162
"ZT3D7_G281",31,6,31,14,13,14,31,27,28,25,9,7
"ZT3D7_G282",1812,2546,3135,3751,3492,3341,1909,1903,3180,2919,4145,2181
"ZT3D7_G283",2933,3552,2138,3103,3370,2722,2385,2911,2000,1435,4931,2515
"ZT3D7_G284",137,174,566,189,215,204,102,98,632,553,219,113
"ZT3D7_G285",168,101,82,202,197,162,113,142,98,53,198,99
"ZT3D7_G286",291,259,221,347,409,304,182,311,330,217,372,277
"ZT3D7_G287",181,84,328,94,142,130,143,172,365,254,144,83
"ZT3D7_G288",405,369,654,308,337,361,445,411,773,660,582,325
"ZT3D7_G289",12,14,127,18,5,12,14,23,105,81,9,13
"ZT3D7_G290",360,385,557,427,462,475,440,416,531,475,592,321
"ZT3D7_G291",419,1031,1234,1524,1396,1725,475,420,1348,964,1510,833
"ZT3D7_G292",1539,1265,973,2948,2379,2454,1294,1472,898,869,1810,905
"ZT3D7_G293",639,649,570,692,823,785,696,696,614,577,1228,628
"ZT3D7_G294",328,948,242,849,718,721,290,346,210,203,1364,758
"ZT3D7_G295",68,52,171,56,67,32,85,95,199,137,89,67
"ZT3D7_G296",46,1130,1096,108,135,121,48,60,1199,978,1372,934
"ZT3D7_G297",0,12,15,0,0,0,0,0,35,23,16,6
"ZT3D7_G298",712,14,89,108,111,112,722,711,94,78,18,13
"ZT3D7_G299",3,0,3,2,2,0,7,6,12,3,2,2
"ZT3D7_G300",1,6,14,3,2,3,1,0,15,15,15,8
"ZT3D7_G301",2458,389,955,993,874,718,2224,2465,1153,885,586,346
"ZT3D7_G302",297,320,453,229,193,198,308,375,460,394,517,212
"ZT3D7_G303",10,3,8,7,5,8,4,10,11,3,2,3
"ZT3D7_G304",55,51,205,73,85,53,38,26,257,226,74,47
"ZT3D7_G305",83,196,329,140,153,126,80,45,355,267,303,156
"ZT3D7_G306",51,36,277,22,27,29,39,17,286,304,37,36
"ZT3D7_G307",6519,1952,10027,3115,3021,2876,6720,5613,15453,9095,3190,1696
"ZT3D7_G308",187,76,106,10,18,22,243,178,149,105,153,79
"ZT3D7_G309",102,22,58,26,40,29,129,75,54,37,26,40
"ZT3D7_G310",102,7,18,25,35,30,105,86,22,15,11,6
"ZT3D7_G311",198,332,723,352,329,271,185,172,802,738,556,278
"ZT3D7_G312",1177,1678,1318,1686,1755,1607,1270,1081,1315,1050,2233,1061
"ZT3D7_G313",316,40,157,132,159,144,300,280,163,187,65,55
"ZT3D7_G314",574,1234,657,1479,1544,1352,496,521,701,521,1981,1266
"ZT3D7_G315",103,249,811,88,125,105,95,98,914,787,342,194
"ZT3D7_G316",29,70,216,25,19,16,22,25,247,231,112,50
"ZT3D7_G317",1735,2198,2557,3727,3476,3298,1762,1809,2837,2315,3244,1774
"ZT3D7_G318",511,204,1246,257,236,171,407,556,1743,1378,329,180
"ZT3D7_G319",112,332,255,365,407,306,123,152,232,238,541,327
"ZT3D7_G320",385,1108,810,1374,1161,1153,328,566,711,680,1572,796
"ZT3D7_G321",3779,2434,2200,4471,3458,2740,3495,5679,2277,1888,3146,2075
"ZT3D7_G322",408,106,870,137,165,121,415,447,935,709,132,77
"ZT3D7_G323",2331,791,763,1164,1104,933,2008,2351,776,807,1139,584
"ZT3D7_G324",406,78,528,250,253,250,373,408,571,393,122,74
"ZT3D7_G325",56,19,40,13,6,9,29,43,75,47,18,15
"ZT3D7_G326",1055,845,1471,1243,1241,1015,1127,1461,1569,1374,1182,678
"ZT3D7_G327",138,5,16,4,9,6,133,160,25,14,2,6
"ZT3D7_G328",789,547,938,669,696,571,700,745,879,760,757,501
"ZT3D7_G329",515,99,460,60,85,63,457,491,526,440,99,88
"ZT3D7_G330",1009,61,357,183,168,177,807,778,345,256,95,48
"ZT3D7_G331",514,144,829,357,457,449,457,445,863,642,182,103
"ZT3D7_G332",1081,2888,1935,1625,1689,1703,1157,1049,2249,1886,3787,2301
"ZT3D7_G333",243,215,471,311,269,305,270,246,637,498,329,212
"ZT3D7_G334",614,95,939,203,238,236,583,561,933,684,162,91
"ZT3D7_G335",954,798,1006,1293,1793,1664,898,883,1055,934,1436,864
"ZT3D7_G336",778,1060,950,1450,1809,1474,788,645,1130,1027,1713,1123
"ZT3D7_G337",774,1295,382,750,1066,883,856,804,389,265,2292,1433
"ZT3D7_G338",1181,2277,2606,1988,1902,1683,901,936,3116,2156,3255,1730
"ZT3D7_G339",167,100,677,94,88,90,254,255,692,475,138,79
"ZT3D7_G340",60,64,63,207,223,205,77,50,60,86,106,57
"ZT3D7_G341",551,720,534,672,892,840,770,574,591,504,1256,766
"ZT3D7_G342",75,141,803,31,35,39,84,91,1470,691,198,120
"ZT3D7_G343",0,224,7449,0,0,1,0,0,8376,6942,325,214
"ZT3D7_G344",102,96,165,49,50,68,142,134,181,167,131,79
"ZT3D7_G345",285,254,676,384,430,400,312,357,689,640,534,292
"ZT3D7_G346",139,267,453,341,329,311,174,220,398,373,369,195
"ZT3D7_G347",26,18,107,13,9,17,10,31,77,74,23,16
"ZT3D7_G348",2152,7043,2851,5455,6046,4947,2451,2297,3143,2762,11718,6258
"ZT3D7_G349",74,22,72,60,40,42,64,91,99,60,11,7
"ZT3D7_G350",30,21,40,13,16,17,79,44,42,26,26,7
"ZT3D7_G351",1800,3090,2450,3418,3763,2980,1758,1938,2728,2422,4728,2708
"ZT3D7_G352",161,33,244,111,127,106,239,119,265,266,39,35
"ZT3D7_G353",921,990,869,2229,1770,1574,552,700,914,770,1289,916
"ZT3D7_G354",1111,804,1263,1365,1613,1488,1093,829,1610,1219,1406,775
"ZT3D7_G355",54,26,107,37,23,33,73,74,94,107,31,20
"ZT3D7_G356",556,440,654,543,689,623,597,576,667,570,748,383
"ZT3D7_G357",407,89,448,158,163,145,432,380,530,467,148,113
"ZT3D7_G358",385,374,71,934,1039,1011,462,427,93,76,658,371
"ZT3D7_G359",420,479,854,835,926,742,434,444,1195,882,973,453
"ZT3D7_G360",1241,595,989,1034,1109,1021,1191,1183,1088,893,1098,576
"ZT3D7_G361",4317,1884,13347,4024,3466,2962,2943,3426,9864,10915,2921,1709
"ZT3D7_G362",452,549,582,824,827,720,323,403,553,496,727,382
"ZT3D7_G363",567,40,67,254,221,202,559,498,96,78,74,37
"ZT3D7_G364",531,623,966,868,888,695,432,595,1123,931,803,475
"ZT3D7_G365",92,8,18,10,19,19,80,77,30,16,10,6
"ZT3D7_G366",6,8,35,6,13,11,21,15,27,35,11,4
"ZT3D7_G367",914,765,994,989,1047,968,976,945,1144,896,1316,650
"ZT3D7_G368",436,322,948,302,293,214,318,374,513,872,489,266
