genes logFC logCPM PValue FDR
ZT3D7_G941 13.8654979544971 8.24899914642976 4.27057233038471e-281 3.20122101885638e-277
ZT3D7_G8504 11.2484298350306 7.26692871608419 8.32884840187522e-250 3.12165238102283e-246
ZT3D7_G4528 13.2496436380076 6.8446073602582 5.23729484494356e-229 1.30862540525656e-225
ZT3D7_G630 12.1503537664134 7.41400204637005 8.15645681826804e-228 1.52852000774343e-224
ZT3D7_G451 14.1407111444592 5.84998145387956 1.63940064308794e-216 2.45778944411743e-213
ZT3D7_G1150 14.1593336740152 5.86860440023702 2.46858177273366e-210 3.08408149473526e-207
ZT3D7_G6276 11.7164513735016 5.31579978865603 3.90773834264728e-172 4.18462951664057e-169
ZT3D7_G622 10.449668382655 4.83899665310993 8.28163643009122e-158 7.75989333499548e-155
ZT3D7_G3616 -7.2158859809319 6.26591363095862 1.10261247337589e-151 9.18353677825071e-149
ZT3D7_G8221 10.240317118008 4.63401451539881 1.22099207832262e-149 9.15255661910638e-147
ZT3D7_G9984 13.0691794428502 4.78077073702639 1.10347863386554e-144 6.92629351221714e-142
ZT3D7_G11140 11.2377694603439 4.83647485848459 1.10879832105931e-144 6.92629351221714e-142
ZT3D7_G8192 10.8964942224681 4.49608937894526 1.0393857241281e-141 5.99325799081862e-139
ZT3D7_G2246 10.7879465656454 4.39116490640955 8.69794297489842e-136 4.65712718141704e-133
ZT3D7_G4343 6.71681720040741 5.02178415974399 1.75644797167737e-127 8.77755599712902e-125
ZT3D7_G626 12.5005316626132 4.21518648091689 1.12167852136227e-126 5.25506387258223e-124
ZT3D7_G10425 12.3663800413077 4.08171775610984 7.41808554384382e-122 3.27093936686196e-119
ZT3D7_G11306 6.0373726600569 5.20066298900474 3.74477387049719e-119 1.55949027406927e-116
ZT3D7_G39 -4.7311968183687 8.52292745063894 8.87271015855952e-116 3.50051764992432e-113
ZT3D7_G10225 10.8947469453697 4.49404336062121 2.15624667451451e-115 8.08161253608039e-113
ZT3D7_G618 6.60589328608785 5.63533532030739 2.6241918242937e-115 9.36711519757407e-113
ZT3D7_G7047 12.2254386185752 3.94248814600885 7.32831062760235e-110 2.49695529384124e-107
ZT3D7_G8340 7.2236938274089 4.59303230460713 1.46015172783867e-109 4.75882493559941e-107
ZT3D7_G2147 -4.63562507436055 5.85216372973833 2.55375470616207e-109 7.97622719891288e-107
ZT3D7_G6582 6.02260440139698 5.03277051994919 1.27780009450726e-106 3.83135580337058e-104
ZT3D7_G2837 5.41780822547679 5.77175938798546 1.21565345628691e-105 3.5048224262795e-103
ZT3D7_G2900 -5.39310102086813 4.83756433777808 4.85543681160935e-103 1.34801312369717e-100
ZT3D7_G7840 7.97412486636599 4.34613455689749 8.87186654743043e-103 2.3751254156978e-100
ZT3D7_G3934 8.49836311726296 3.77882081510693 4.49204970410011e-101 1.16111739937705e-98
ZT3D7_G3380 10.1866232969616 3.79368187535193 1.62590822727154e-98 4.06260269054249e-96
ZT3D7_G5549 9.8945468342923 3.50155854587206 7.6477117110906e-98 1.84926603181726e-95
ZT3D7_G7841 6.83124084636454 4.01895904166242 8.89161724730124e-98 2.08286134018032e-95
