genes logFC logCPM PValue FDR
ZT3D7_G6757 -7.96302263838823 7.36591258215978 3.19119019704332e-34 2.78846199417645e-30
ZT3D7_G8139 -6.37934291366078 5.92225178955361 3.8524775002972e-32 1.68314741987985e-28
ZT3D7_G7583 -5.65640323252643 5.86669611357126 8.26568264890789e-31 1.8369845697558e-27
ZT3D7_G7161 -6.50167125945928 6.84191598640421 8.40917633213915e-31 1.8369845697558e-27
ZT3D7_G8137 -12.243800859933 5.52332287997521 8.08934642222167e-30 1.41369418074746e-26
ZT3D7_G4378 -6.44979065235802 6.43987642102103 4.44580465569451e-29 6.47457351357644e-26
ZT3D7_G11472 -5.92654392227922 6.8432916074333 8.08115244769161e-28 1.00875871554185e-24
ZT3D7_G8131 -6.30514570504409 5.42825530928392 7.22318898270991e-27 7.8895281663649e-24
ZT3D7_G113 -5.03411465759832 6.43387955473869 4.23401259143101e-26 4.11075578043602e-23
ZT3D7_G3154 -6.27026597311972 5.28821777188407 3.62677440359124e-25 3.16907547385803e-22
ZT3D7_G7526 -6.46764908148312 12.274507929864 6.63727379179327e-24 5.27240894478996e-21
ZT3D7_G3679 -5.94321368884583 7.53202123363857 8.22876071975184e-24 5.9919092640993e-21
ZT3D7_G3969 -7.93250707413779 4.81451136873181 3.47479939968573e-23 2.33559978111184e-20
ZT3D7_G7528 -6.0804205461622 9.96732417597304 5.09671078339424e-23 3.18107563037849e-20
ZT3D7_G759 -6.13215246036379 7.28636626770568 6.58898780250127e-23 3.83830502788374e-20
ZT3D7_G11515 -5.52703124834579 7.06153952178564 1.42833068867124e-22 7.80047097350583e-20
ZT3D7_G7577 -4.61697259190475 6.55032630703569 2.2135633618817e-22 1.13777156800719e-19
ZT3D7_G7159 -5.71881456122017 7.5257744359588 6.87121668910874e-22 3.33559396830179e-19
ZT3D7_G3573 -6.38911260575855 5.65761972186383 1.00398539859559e-21 4.61727600680436e-19
ZT3D7_G10786 -4.63328634755302 5.78443433236194 1.67886804908164e-21 7.33497450643766e-19
ZT3D7_G8925 -4.99886178398252 6.18750210599804 2.22652659902124e-20 9.26447115345124e-18
ZT3D7_G4535 13.4583895596487 7.38512333266258 4.35487497009755e-20 1.72967715857783e-17
ZT3D7_G7255 -4.88265150341382 6.07885851997132 5.08291822930805e-20 1.93106693424756e-17
ZT3D7_G9864 -4.96895615121927 6.99170390312568 1.70752973561967e-19 6.21683117910195e-17
ZT3D7_G1342 -4.11163983666802 5.75764209102561 9.07045536603447e-19 3.17030555953637e-16
ZT3D7_G7293 -4.3585069983025 8.03981157021674 1.54170839171734e-18 5.18132612570234e-16
ZT3D7_G6190 -4.6455456373431 5.37688825292718 3.26738912050975e-18 1.05742393092645e-15
ZT3D7_G6588 -4.58040723559504 8.76138828367747 1.85791258721187e-17 5.79801435252047e-15
ZT3D7_G451 7.07460183969009 7.11962178676837 2.10590463979971e-17 6.34530853192065e-15
ZT3D7_G10174 -6.18630119703348 10.3751335557659 2.24724291994032e-17 6.54546954481283e-15
ZT3D7_G4528 6.30143732227331 7.30261264930016 2.43632566934912e-17 6.86729474153955e-15
ZT3D7_G8132 -5.51225028287179 6.44771526626687 5.93398420155265e-17 1.62034856103647e-14
ZT3D7_G9183 -5.36845400330247 9.06212664985267 7.08438573397457e-17 1.84392550191699e-14
ZT3D7_G10880 -7.40652829493361 10.6804283473458 7.1748074004552e-17 1.84392550191699e-14
ZT3D7_G363 -4.33687923545905 7.11897421760609 1.03502982832604e-16 2.58402589711799e-14
ZT3D7_G6420 -4.86398366029565 9.01771984657711 1.21738958581888e-16 2.9548750558015e-14
ZT3D7_G2455 -5.42346580318362 7.21083051184724 1.49466593580107e-16 3.52983539108912e-14
ZT3D7_G9824 -3.91970767890037 5.77304694305946 1.53700302342992e-16 3.53429800492912e-14
ZT3D7_G10675 -4.16698270119131 5.46203980505422 3.05456574882327e-16 6.84379372133788e-14
ZT3D7_G4632 6.02088396863658 7.08714467512423 3.57061518705791e-16 7.75982155579092e-14
ZT3D7_G2351 -4.64329924682456 6.62244216404547 3.64102407630382e-16 7.75982155579092e-14
ZT3D7_G9567 -5.02100708633538 4.37969322276297 8.32812127793793e-16 1.7326458030148e-13
ZT3D7_G10883 -4.40849090725657 7.30042599404803 9.142089701356e-16 1.85775767001044e-13
ZT3D7_G7395 -6.18600406357952 8.47377794695302 9.84871803457849e-16 1.95586586786697e-13
ZT3D7_G3539 -4.07753904197258 6.7206211153312 1.32317339223059e-15 2.56930868918021e-13
ZT3D7_G6278 -5.80372501801291 8.49723728141867 1.47813673544633e-15 2.80781712920219e-13
