genes logFC logCPM PValue
ZT3D7_G2 1.00398517606227 5.66979993363469 0.316703231106473
ZT3D7_G6 0.361276802816583 5.5087597831352 0.787731014566143
ZT3D7_G7 -0.603360641832187 5.22414743286942 0.603224242541635
ZT3D7_G9 -0.878884885508639 5.25659473502304 0.34397847471935
ZT3D7_G10 1.09029706723943 5.02247371369246 0.304806416619647
ZT3D7_G11 0.90945612821213 6.86763266516464 0.137141012541037
ZT3D7_G12 -0.626805304689742 4.29359926358852 0.741232185257059
ZT3D7_G13 0.59534449569545 5.62645140370477 0.512593889990161
ZT3D7_G15 0.891267807928492 4.93823480690119 0.649347203497689
ZT3D7_G16 -2.41791232705895 4.47550642292535 0.0828731380847654
ZT3D7_G17 2.7190640720387 8.55513091847279 6.65807594520083e-06
ZT3D7_G18 -0.321552796049484 5.35178255350776 0.727661588977472
ZT3D7_G20 -1.31835056222296 5.07074994908049 0.207488070349106
ZT3D7_G21 1.4561770280843 5.62675406497334 0.114724667975654
ZT3D7_G22 0.032096437756974 6.32434596469763 1
ZT3D7_G23 1.18791677799252 6.6300809990565 0.199992163460325
ZT3D7_G25 4.61767192278725 4.61128259500243 0.118598120970869
ZT3D7_G26 -0.23777548495039 9.70241238901233 0.489666878148499
ZT3D7_G27 2.95873328648022 5.56098566656549 0.0134798512651468
ZT3D7_G31 0.173983385657182 4.58514433379387 1
ZT3D7_G33 -0.413441142844163 6.13081401717745 0.585258117337987
ZT3D7_G34 -0.0787919171782567 4.49789095490224 1
ZT3D7_G35 0.96022548108883 7.66717737240102 0.040998256936059
ZT3D7_G36 1.95544270680423 4.93734326019183 0.256611819981871
ZT3D7_G37 0.19605287933599 4.19186731370373 0.999999999999997
ZT3D7_G38 0.00745740001261568 4.52870383938898 1
ZT3D7_G39 0.170559443774096 4.58392915207737 0.999999999999998
ZT3D7_G40 -1.03183002471025 4.72759411510223 0.493234533951789
ZT3D7_G47 -0.249589534662751 7.17915507677926 0.657528339293843
ZT3D7_G52 6.02761154518768 5.47414534077472 0.00168442201423973
ZT3D7_G53 -1.09535237658784 5.11533813918761 0.468278159783135
ZT3D7_G55 1.70802289279668 4.84847228607846 0.409121217480618
ZT3D7_G56 -1.48290711458767 4.73920405749863 0.249248723538432
ZT3D7_G57 4.06623336089484 4.34451231825309 0.090816150493739
ZT3D7_G60 0.0684049937279421 5.51770713058449 0.999999999999988
ZT3D7_G63 3.24537891766262 5.76309817807278 0.00406848873337809
ZT3D7_G64 0.442015369908671 5.5675048781144 0.754534108853356
ZT3D7_G71 0.238834464980853 8.76276817020161 0.628357316473296
ZT3D7_G74 0.0789801776579021 7.52658541572838 0.924918555352989
ZT3D7_G76 0.0037340099580407 9.26023543604244 1
ZT3D7_G78 3.53225213600014 5.98319667727693 0.000997069570183561
