genes logFC logCPM PValue
ZT3D7_G2 0.996284121203711 5.13008138258664 0.0726523537421901
ZT3D7_G6 0.0575836893027896 5.27672350120448 0.889685744138529
ZT3D7_G7 1.37180976083337 5.91314557201553 0.00397629391352432
ZT3D7_G8 2.78890047654886 3.49558352391239 0.018090397584794
ZT3D7_G9 0.92031456302244 5.07820430051083 0.146645531700434
ZT3D7_G10 -0.148027976035679 5.25671164066221 0.826329138080952
ZT3D7_G11 0.638704118889937 6.90540148255748 0.157753159542554
ZT3D7_G13 1.093905786124 5.72560920552692 0.028778505734804
ZT3D7_G14 -1.30601551371823 3.57485037208287 0.0627108413111699
ZT3D7_G15 -0.436058538072119 5.16810618873917 0.377867787940213
ZT3D7_G16 -0.596094239299513 3.16852785422258 0.690214147793481
ZT3D7_G17 -2.66822047863282 9.18003363302129 6.93070700850444e-07
ZT3D7_G18 -2.72845917959197 5.13595360645964 1.30277927495877e-08
ZT3D7_G20 -0.102847808150013 6.04195543669669 0.810720867059557
ZT3D7_G21 0.192761526684357 5.05608312445618 0.741123116508011
ZT3D7_G22 -0.163492159139818 7.22211635240254 0.716860399201131
ZT3D7_G23 2.6868032785654 6.72137731322455 0.000270094157606503
ZT3D7_G26 0.370738357855022 7.29093787242493 0.514416133023851
ZT3D7_G27 -0.268146946523204 4.8464687567019 0.567125230241112
ZT3D7_G31 -0.580314925697256 4.53062558853039 0.294387622528918
ZT3D7_G33 -0.360878737837314 5.8514943878575 0.454671244349592
ZT3D7_G34 -1.57593360022497 3.57360329257175 0.0262060979869496
ZT3D7_G35 0.535743878847407 6.44458736056275 0.341865514773284
ZT3D7_G36 0.282152255633566 4.75781802907587 0.750544108265607
ZT3D7_G37 -0.250325697417023 4.22340133181787 0.783051621903186
ZT3D7_G38 -0.107585426416631 3.22205986764419 0.870317116946982
ZT3D7_G39 1.63010876969374 3.86171160881486 0.0714789677213162
ZT3D7_G40 1.41841552220513 5.13096369220235 0.0196299951408631
ZT3D7_G41 0.707517231374529 5.37628327736122 0.242993775779296
ZT3D7_G43 10.9707036937451 5.19240759083967 7.55626438744664e-09
ZT3D7_G47 -1.70108319943879 6.08883236784205 0.00533869271006041
ZT3D7_G52 1.3561522103772 5.49502222668907 0.0071642454775926
ZT3D7_G53 -0.0134082034587315 3.40444919024163 0.89308869458248
ZT3D7_G54 -4.3139657760996 1.50980116962269 0.000313595483268459
ZT3D7_G55 -5.34102961875122 4.17183077649603 3.03356185244869e-12
ZT3D7_G56 -1.60192607510763 3.22412364090757 0.0226684094404989
ZT3D7_G58 0.484228234398996 2.96228637249844 0.564973286013689
ZT3D7_G59 1.84815933957475 3.56406417517578 0.0808756320655743
ZT3D7_G60 -0.421788140077076 5.36472672566152 0.362247653504025
ZT3D7_G63 0.238631802555123 5.51495403841399 0.670145130876104
ZT3D7_G64 -0.141278841407274 5.45265455125894 0.776521377692374
