genes logFC logCPM PValue
ZT3D7_G2 0.444635239974217 5.22405631964644 4.24550753643856e-05
ZT3D7_G4 0.189024138193142 3.18589161303836 0.347913429703384
ZT3D7_G6 -0.209800512102671 4.98580801977108 0.0591793334205291
ZT3D7_G7 0.0129618952490938 3.56330584087704 0.961773096332408
ZT3D7_G9 -0.0413124967819544 3.77835352806719 0.799650731023093
ZT3D7_G10 -0.305019597402564 5.60547638067074 0.00360306164318536
ZT3D7_G11 -0.52847745651882 6.57630887941674 1.12962668351743e-06
ZT3D7_G13 -0.220671379219924 5.18056048078296 0.0510829496696768
ZT3D7_G14 0.151340506675424 3.79823329478448 0.298789613088898
ZT3D7_G15 -0.227641816325317 4.4086344066897 0.0748516089300549
ZT3D7_G16 1.16257390731855 2.9197940890456 1.31390081021391e-11
ZT3D7_G17 -4.87389900566041 9.64460165500319 1.32583698519516e-180
ZT3D7_G18 -0.257333615780104 5.15897592005599 0.0606934507619978
ZT3D7_G19 0.681113225353696 4.45144836530358 2.98682940119623e-06
ZT3D7_G20 -0.184137531174477 5.82854059972229 0.114420668555633
ZT3D7_G21 -0.0522001452457654 5.21601000118995 0.662418480962409
ZT3D7_G22 -0.716814371306498 5.57476813352551 4.10383349907812e-09
ZT3D7_G23 -0.745955605952837 6.85778547197279 7.12620037283612e-12
ZT3D7_G26 0.213842620133405 6.62420527254214 0.0544659313148528
ZT3D7_G27 -0.262666809505197 5.17198955438428 0.0166901424181753
ZT3D7_G31 0.195752498358881 4.60094558673468 0.0951240346874654
ZT3D7_G33 0.258900806260366 5.29373229821358 0.0318204103324083
ZT3D7_G34 0.47454673567309 3.31214018736853 0.00355470705222421
ZT3D7_G35 0.240729559023307 7.02513191252314 0.0442410431897439
ZT3D7_G37 -0.1881457895513 3.86990886808703 0.229903086716897
ZT3D7_G38 -0.0145429328132666 3.84873801012372 0.967346882957684
ZT3D7_G40 -0.104522925257475 3.26162798691485 0.572221613119676
ZT3D7_G47 0.437649316643018 8.24154033003966 0.00176869152071506
ZT3D7_G52 0.339367936808952 4.31954084221151 0.00413618021962206
ZT3D7_G53 0.406018959513599 4.75380245764132 0.00482231043056027
ZT3D7_G56 0.683301940886643 4.81277026183281 1.34823596238706e-06
ZT3D7_G58 0.825960814501444 2.83453805865615 6.1315245867099e-05
ZT3D7_G59 1.7563467893063 3.6374253350865 4.74197275168655e-29
ZT3D7_G60 0.477003866063147 5.33991672489047 0.000100939645269823
ZT3D7_G63 0.739473546844257 6.77327673412591 6.96354940373017e-07
ZT3D7_G64 -0.182100312334635 5.25080915053125 0.091681077143435
ZT3D7_G74 -0.42635363567921 7.07376074144256 0.000384821684673734
ZT3D7_G76 0.140497690220889 5.23013456850737 0.206272403191961
ZT3D7_G81 0.313531737572517 3.97968702414814 0.0166100072535338
ZT3D7_G83 -0.670021059690552 8.58038552030069 9.27951332586761e-09
ZT3D7_G85 -1.82498972092947 4.26855394200231 1.22935668902005e-23
ZT3D7_G89 0.501327615824104 6.42905891805329 9.10894181463404e-06
ZT3D7_G93 -1.07690810812568 3.23790966559496 2.55374572644455e-13
ZT3D7_G94 0.436464575028407 3.52191459391793 0.00372835379112607
ZT3D7_G95 -0.45481839166366 4.03872859357673 0.000537725498804974
ZT3D7_G96 0.449651431198795 6.58141994062097 1.66976606803994e-05
ZT3D7_G100 -0.101389053056083 5.36148463071931 0.423267229802884
ZT3D7_G101 0.823539559090078 4.92234529678727 1.84759359706043e-13
ZT3D7_G102 -0.639242617429207 4.66406424606932 0.000195647399217253
ZT3D7_G103 -0.214148081545522 4.11623310815324 0.0789855186208657
ZT3D7_G104 -1.11944938344551 3.0944793726892 3.75680226808957e-12
ZT3D7_G106 -0.289484906835196 4.62149461296112 0.0538068123776949
ZT3D7_G107 -2.92564780216666 5.63727835784931 1.40228800597223e-101
ZT3D7_G108 0.026828024076384 4.97600530612274 0.851498357044767
ZT3D7_G109 -2.59779832561319 2.88818556285927 3.48676874314996e-47
ZT3D7_G110 -0.241903428450363 6.65426711206124 0.0278814266604366
ZT3D7_G111 -0.318159698872826 9.30791101930668 0.00413018124508718
ZT3D7_G112 -0.629248820557821 8.35534349542162 1.71663330856064e-07
ZT3D7_G114 -0.355459685604463 4.90810847506701 0.0071937081861676
ZT3D7_G115 0.702525736630732 6.93126428674382 2.72864118746811e-11
ZT3D7_G120 -0.728716597723181 7.75284766378593 9.63030577080987e-11
ZT3D7_G121 0.0620667403904811 7.34909344235469 0.668130878007661
ZT3D7_G122 -0.428256306348846 4.58393047155487 0.00168806703382366
ZT3D7_G123 -0.0766830315526554 3.87937394510124 0.594916369910402
ZT3D7_G124 1.03771888924449 3.48054176095889 9.47274698431751e-11
ZT3D7_G125 0.201084202376305 7.90776886249659 0.0537726834601538
ZT3D7_G128 -0.0236455231123996 6.08255507650283 0.851072940137486
ZT3D7_G129 1.06010855248009 4.88559188429038 5.3523697847675e-17
ZT3D7_G130 0.418592514954544 4.09508134257984 0.00195928515177828
ZT3D7_G133 0.0556533685299266 5.27533579414982 0.637185160865942
ZT3D7_G136 0.06121277477848 5.52464324896694 0.607042128999235
ZT3D7_G137 0.331734561896369 5.87469033010209 0.00183401560296536
ZT3D7_G138 -0.268056630458778 8.16562252738321 0.0810060251701469
ZT3D7_G143 -0.180946607982132 6.63745912372333 0.0717910624582585
ZT3D7_G144 1.49209637051297 7.43412271736614 1.31604212234858e-27
ZT3D7_G145 0.790343260632113 5.46655208135791 1.36165457203302e-14
ZT3D7_G146 0.261478259001709 7.84262114499951 0.0441348790198729
ZT3D7_G147 0.135558840372619 6.90702206399646 0.2297875686063
ZT3D7_G148 -0.0585348548679269 6.28769529299368 0.571577366126389
