genes logFC logCPM PValue FDR
ZT3D7_G11435 11.3275684986776 9.05078806489754 5.94670559455702e-16 5.03864365026816e-12
ZT3D7_G5121 9.98580360062803 7.7739299699942 2.04148047265437e-15 8.64873202240026e-12
ZT3D7_G9283 8.67234696462592 9.31269755276523 3.06596930572171e-15 8.65931930912669e-12
ZT3D7_G7161 -7.82012973627129 6.96227012668616 4.97295516800743e-14 1.05339622846317e-10
ZT3D7_G451 9.14473718113979 7.00076437112772 5.52080685303592e-12 9.35555929315467e-09
ZT3D7_G8141 8.76117279219757 6.66209955845103 4.62968125513957e-11 6.5378815457996e-08
ZT3D7_G4528 9.19081242581965 7.04352529395963 1.11552915307366e-10 1.26074780508892e-07
ZT3D7_G618 5.47720455450458 7.05763387133064 1.23254604383924e-10 1.26074780508892e-07
ZT3D7_G2250 5.99114087284325 6.73076017491646 1.33916325336956e-10 1.26074780508892e-07
ZT3D7_G4535 6.11491198948696 6.90414987378812 3.06624615863476e-10 2.59803037021123e-07
ZT3D7_G8871 5.78474947857954 6.57957527713571 8.2200661245589e-10 6.33169275212614e-07
ZT3D7_G8221 8.18513528272801 6.16289101052081 1.38890675663814e-09 9.80683912416245e-07
ZT3D7_G941 8.2169991633607 6.18876140498658 3.35975544387961e-09 2.18978522123015e-06
ZT3D7_G11140 7.98825024644367 5.99686914104364 4.79637425841908e-09 2.90283422082749e-06
ZT3D7_G11472 -5.40303495433784 6.78769246510803 9.18147385218263e-09 5.18630852996956e-06
ZT3D7_G6563 3.8751443696804 7.48312615341025 1.55564388632014e-08 8.23810665549407e-06
ZT3D7_G11436 8.54366710587476 6.48515155494163 5.75403800351681e-08 2.86788023551752e-05
ZT3D7_G4534 8.03482016831395 6.04257573304906 7.72795870255289e-08 3.56881259674121e-05
ZT3D7_G3896 4.33259799635465 6.92583847409527 8.00276635643608e-08 3.56881259674121e-05
ZT3D7_G630 7.8942221186483 5.91444741870912 8.63786428675035e-08 3.65943120508178e-05
ZT3D7_G8051 3.62200241953163 8.70266541349483 9.2972497326183e-08 3.75121890402261e-05
ZT3D7_G8709 -4.3102966965503 6.78153023598572 1.00344623443473e-07 3.86463633834794e-05
ZT3D7_G7839 3.80121979051489 7.83302167657706 1.67611306040559e-07 6.1746547655724e-05
